field_id,condition,metric,model_group,n,mean,median,min,max,p025,p975
21,equal_subfield_composition,cka_debiased,all,10,-0.22916246876841767,-0.22862152494882454,-0.23362173062627467,-0.22558886874570738,-0.2333581317322511,-0.22588733344867246
21,equal_subfield_composition,cka_debiased,without_biomedical,10,-0.2127238440445848,-0.21222033324388578,-0.21652431028825259,-0.20988446634877944,-0.2162590312068324,-0.21001467500234783
21,equal_subfield_composition,cka_debiased,one_biomedical,10,-0.26732001155192975,-0.26736019763831764,-0.27488858668617056,-0.26244200096429066,-0.2737840316384349,-0.26277080195073943
21,equal_subfield_composition,cka_debiased,both_biomedical,10,-0.07892327649954287,-0.07894015323053188,-0.08509231104261483,-0.07316136026304254,-0.0842322864676244,-0.07372400878538946
21,equal_subfield_composition,neighbors_k10,all,10,-0.015252495659722216,-0.015596788194444433,-0.017910156249999976,-0.011265190972222228,-0.017795654296874977,-0.011605767144097216
21,equal_subfield_composition,neighbors_k10,without_biomedical,10,-0.009619663783482118,-0.009708949497767821,-0.013738141741071463,-0.004537527901785687,-0.013408551897321439,-0.005222211565290142
21,equal_subfield_composition,neighbors_k10,one_biomedical,10,-0.02649627685546877,-0.02652282714843751,-0.030554199218750022,-0.02328796386718754,-0.030031661987304708,-0.023528976440429717
21,equal_subfield_composition,neighbors_k10,both_biomedical,10,0.006928710937499994,0.005932617187500017,-0.0006835937499999889,0.022167968749999933,-0.00048583984374999387,0.019399414062499946
21,equal_subfield_composition,neighbors_k25,all,10,-0.04022569444444443,-0.04051215277777781,-0.04439279513888894,-0.03570182291666668,-0.043924631076388915,-0.03616764322916667
21,equal_subfield_composition,neighbors_k25,without_biomedical,10,-0.03426039341517857,-0.03445870535714288,-0.03901367187499999,-0.029966517857142883,-0.03853466796875,-0.030492606026785756
21,equal_subfield_composition,neighbors_k25,one_biomedical,10,-0.052264892578125,-0.05204589843750004,-0.05765380859374997,-0.0475317382812499,-0.057190734863281224,-0.04779595947265618
21,equal_subfield_composition,neighbors_k25,both_biomedical,10,-0.014626953124999986,-0.014560546874999969,-0.020781249999999973,-0.007011718749999951,-0.020671386718749973,-0.007231445312499976
21,equal_subfield_composition,neighbors_k50,all,10,-0.06674108072916667,-0.0667415364583333,-0.07128580729166656,-0.062313802083333425,-0.07047823893229159,-0.06285867513020843
21,equal_subfield_composition,neighbors_k50,without_biomedical,10,-0.06125101143973213,-0.06118879045758929,-0.06617745535714292,-0.05758440290178557,-0.06533425467354918,-0.058075884137834696
21,equal_subfield_composition,neighbors_k50,one_biomedical,10,-0.07852459716796877,-0.078251953125,-0.08317321777343745,-0.07298645019531258,-0.08302297973632808,-0.07356282043457038
21,equal_subfield_composition,neighbors_k50,both_biomedical,10,-0.031926757812500005,-0.03147460937500002,-0.038701171874999996,-0.023447265625000102,-0.03860668945312498,-0.02356591796875007
21,equal_subfield_composition,rsa_spearman,all,10,-0.23650808261784265,-0.23887848946592938,-0.24593354537895917,-0.21912278681480707,-0.2456839475034545,-0.221034760332442
21,equal_subfield_composition,rsa_spearman,without_biomedical,10,-0.2441556570084605,-0.2461430443511344,-0.2530053683606202,-0.2315579849516271,-0.25275924088732643,-0.23215275077649744
21,equal_subfield_composition,rsa_spearman,one_biomedical,10,-0.235555523768902,-0.23777124840703714,-0.2504290518441406,-0.20889542536542594,-0.2488237529446676,-0.21324888961025046
21,equal_subfield_composition,rsa_spearman,both_biomedical,10,-0.0376169412635927,-0.03759353660798381,-0.044613276864533646,-0.032905245856270526,-0.0441924482589445,-0.03292245993311194
21,observed_eligible_composition,cka_debiased,all,10,-0.22640759422642756,-0.22580722363979822,-0.23416862883362044,-0.22027855917177852,-0.233505425553295,-0.2206445683302551
21,observed_eligible_composition,cka_debiased,without_biomedical,10,-0.21012095424299462,-0.2101551922497359,-0.21636707768882002,-0.2061589446550136,-0.21541021744136685,-0.20619932176591588
21,observed_eligible_composition,cka_debiased,one_biomedical,10,-0.26417781885898756,-0.26502306075979,-0.27468052852743197,-0.2542379528772435,-0.2744307879481691,-0.25433344502925326
21,observed_eligible_composition,cka_debiased,both_biomedical,10,-0.0781099196415863,-0.07612615017803231,-0.0886162817081455,-0.0672527592192379,-0.08771005410932013,-0.0683427171449825
21,observed_eligible_composition,neighbors_k10,all,10,-0.016538628472222223,-0.016598849826388873,-0.019488932291666705,-0.013567708333333262,-0.019219645182291693,-0.013948567708333276
21,observed_eligible_composition,neighbors_k10,without_biomedical,10,-0.013285435267857127,-0.013814871651785687,-0.01700962611607143,-0.008312988281249989,-0.016756155831473208,-0.008585292271205342
21,observed_eligible_composition,neighbors_k10,one_biomedical,10,-0.023905944824218768,-0.02399597167968752,-0.029907226562500028,-0.019247436523437494,-0.02898643493652347,-0.019683456420898436
21,observed_eligible_composition,neighbors_k10,both_biomedical,10,0.010249023437499994,0.009887695312499972,0.0015625000000000222,0.02197265625,0.0027160644531250095,0.019797363281249997
21,observed_eligible_composition,neighbors_k25,all,10,-0.04190373263888889,-0.0414457465277778,-0.04472439236111114,-0.037901475694444464,-0.04460300564236112,-0.038397178819444454
21,observed_eligible_composition,neighbors_k25,without_biomedical,10,-0.038356515066964296,-0.03821428571428567,-0.04196637834821432,-0.033738839285714306,-0.041744925362723236,-0.03443772670200893
21,observed_eligible_composition,neighbors_k25,one_biomedical,10,-0.050055053710937505,-0.048972167968750036,-0.05653076171874999,-0.04684082031250003,-0.05572052001953124,-0.04688723754882815
