scope,k,n,mean,median,min,max,p025,p975
subfield,10,10850,0.14550353302611369,0.1411111111111111,0.0044444444444444176,0.5555555555555556,0.04666666666666669,0.2666666666666667
subfield,25,10850,0.09588104454685098,0.09333333333333338,0.007111111111111068,0.2844444444444444,0.03555555555555551,0.1697777777777778
subfield,50,10850,0.06648921658986175,0.06533333333333324,0.008888888888888946,0.23511111111111105,0.025777777777777733,0.11422222222222231
field,10,10850,0.13252759856630825,0.1266666666666667,0.019999999999999907,0.42222222222222217,0.05555555555555556,0.2444444444444444
field,25,10850,0.09163567844342038,0.08888888888888885,0.019555555555555548,0.2693333333333334,0.0444444444444444,0.15733333333333333
field,50,10850,0.06738670762928828,0.06533333333333335,0.015111111111111075,0.1737777777777778,0.03466666666666669,0.11155555555555552
