group,field_id,n,mean,median,min,max,p025,p975
1100,11,45,0.6317031074191445,0.5840138244046493,0.4605373395987903,0.8311625926661947,0.46639000521380125,0.8276124721557154
1102,11,45,0.6439448009936009,0.5421449089397747,0.46264551234643636,0.8971897980689741,0.4702273727172317,0.8928218934247677
1103,11,45,0.6386393824800815,0.5920048200558997,0.44227367823338787,0.8624248654318442,0.45059778584003307,0.8585164343364499
1104,11,45,0.6656149942960441,0.6235997586337667,0.5218507579407496,0.8731585780707012,0.5240622985970665,0.8662436482704631
1105,11,45,0.7004995985405218,0.6529319871812271,0.5441044557465412,0.9107543890141137,0.5545757983007397,0.908014414201334
1106,11,45,0.6044976159918902,0.5555989536681641,0.43356890420592775,0.8392222859119142,0.4371450027934294,0.8352315416396489
1109,11,45,0.6246051030878119,0.5718180784885667,0.4241058163492358,0.8663582356153533,0.47550711640263665,0.8628400611160929
1110,11,45,0.6241124214060615,0.5714554937403118,0.4464492466321101,0.854887552507222,0.4753292814081369,0.8489708324763287
1111,11,45,0.6696203724898259,0.6337614243612757,0.5097752324478597,0.8641028832195902,0.5188366344682038,0.8592967947175014
1202,12,45,0.5124620531370871,0.47408593674574906,0.2808703218826502,0.8451942278168795,0.2858218547207626,0.8108622386687482
1203,12,45,0.6272770216982677,0.6228603540856288,0.379816261730466,0.8510715156659262,0.39106860642971214,0.8185599109358136
1204,12,45,0.6089608434095426,0.5988613598863707,0.4539127511132228,0.8262602836965113,0.4551014878469525,0.8061474230285839
1205,12,45,0.46453827981161006,0.415443196095261,0.24315001783059387,0.8091657328918701,0.25521890178526474,0.7945134082678758
1206,12,45,0.5971605151108895,0.5577012225447876,0.3054595268310865,0.9097813786310445,0.3320534783470526,0.8845670603268597
1207,12,45,0.5997291642429045,0.5419960377376822,0.35921913443045755,0.8752474200514985,0.3864342822194524,0.8661760097074492
1208,12,45,0.6348632507815662,0.6019428001110511,0.47553574648616753,0.8515648307424432,0.4849446368430274,0.8429804638494025
1209,12,45,0.5707012466059715,0.543820399827318,0.339147012009676,0.8425218615920766,0.35832621718226604,0.815085994002434
1210,12,45,0.5760293313766377,0.5615387589243991,0.40166873709471285,0.8071393589177971,0.40843031969141974,0.8039956377853559
1211,12,45,0.6661087839966732,0.6415366439648988,0.49578703926433465,0.8602710600698353,0.5026270576070672,0.847375208880921
1212,12,45,0.491903070478551,0.48852826724761755,0.25432555210279273,0.8592624514706302,0.25962273953063125,0.8492282072477944
1213,12,45,0.5355005760998217,0.4851143087512927,0.3321576136923589,0.8090602527686104,0.3518354728861376,0.8031427580938054
1303,13,45,0.6256064224652056,0.584522610021764,0.4072812227429936,0.8767049496439776,0.4207711072878632,0.85157436449918
1304,13,45,0.6492635432967379,0.6002619770753446,0.48380901628624207,0.881174164560871,0.49787537660801523,0.8544409341220935
1305,13,45,0.631882982719786,0.5786819594573799,0.426568132345256,0.8601025768055962,0.4729447189128067,0.8545688423494103
1306,13,45,0.5941596486685273,0.5385618355310052,0.34685321816295905,0.8702843503913483,0.39939481266368887,0.8646272747757068
1307,13,45,0.7139299824084352,0.6755069708947312,0.5533689053460451,0.8864575685200611,0.5806933642803211,0.883844135703077
1308,13,45,0.6467213147563251,0.5847231682684048,0.4563418627958882,0.8831609778307032,0.46989097373149696,0.8731490142266084
1310,13,45,0.6183639550556551,0.5675619181901849,0.4003103454995095,0.851043461200633,0.4439786139079781,0.8493259578692262
1311,13,45,0.6558832208748948,0.5898798282720378,0.47107281890982294,0.8636993732228491,0.5173826725222634,0.85998888032231
1312,13,45,0.5720716659741298,0.508325446892245,0.3634647696771112,0.8555209664426001,0.40173356630219265,0.8170046798546506
1313,13,45,0.7905153117218475,0.7995397849861362,0.5739860321485903,0.9451832050645538,0.5910275459778584,0.9399193499378703
1402,14,45,0.5674260032345955,0.5207143804481723,0.3424441888578231,0.8261808761454936,0.3508049516292405,0.7812369514817911
1403,14,45,0.641015130472676,0.5817841246815426,0.48887115174302914,0.8774592815434801,0.49510487795151104,0.8617300033707133
1404,14,45,0.6360340949530002,0.5882898922742831,0.4562909903532874,0.8691858780022247,0.46608960864839716,0.8387417716546376
1405,14,45,0.6272731096208417,0.6066854029539884,0.41826174350564943,0.8777883748303438,0.42634139642050206,0.8576176828420737
1406,14,45,0.5976296243597806,0.527763045348438,0.3970441948817021,0.8462504604458914,0.4210439100595123,0.8138360530876124
1407,14,45,0.5968128929177035,0.5311858014522629,0.37561924555317233,0.8458344343016639,0.386666818441322,0.8369072031146567
1408,14,45,0.5803085888596745,0.5257305633266618,0.36107903963304433,0.8156179931255872,0.3851813333202313,0.8135360470505564
1502,15,45,0.6018195999701402,0.5773583661199054,0.41073369939975407,0.8568144656747352,0.43783941709243146,0.8499050704143686
1503,15,45,0.6462412550619234,0.6163094094397102,0.42179953854205354,0.9063204563682401,0.42997387017984834,0.8713014206342615
1504,15,45,0.5867048718934534,0.5142028236680948,0.41784530204057885,0.8425056344227962,0.4252010960882987,0.830869339991747
1506,15,45,0.616797396811216,0.5489535996650867,0.45888542782154323,0.8751814652955334,0.46535475654587705,0.8734473913455018
1507,15,45,0.7425876180800728,0.6991143441383405,0.6023452171216693,0.9134234998139448,0.6054669026679683,0.9109083049631761
1508,15,45,0.8088938325308639,0.7821381723178534,0.7178483438054971,0.9337747626620837,0.7268553553612,0.923288005043908
1602,16,45,0.614067834610319,0.5500228037322,0.41788963993609085,0.8620723827818376,0.4485953924769814,0.8581779208077007
1603,16,45,0.5442153249518392,0.48741814200497735,0.3757953752140117,0.841837460183207,0.3796290787855734,0.8251357016374468
1604,16,45,0.6849631828020812,0.6310298825547574,0.5324051518450927,0.9131512548938258,0.5502878293774581,0.9083637605223225
1605,16,45,0.624154283989393,0.6068851672932872,0.4307842300313276,0.9002806923856683,0.45702789353979506,0.8973688204095507
1606,16,45,0.6642522233415569,0.6332542471685748,0.4637725089213115,0.9035613435579023,0.47053609806464763,0.8924346488700766
1607,16,45,0.6799167198700258,0.6559546694488635,0.4752416344351113,0.8835141617965444,0.48927054132676373,0.8802193029340605
1702,17,45,0.6094457018267119,0.5294048819302811,0.46493937708774075,0.8649052752420049,0.4677672066654556,0.8343826553524138
1703,17,45,0.6563984704740378,0.6327608194482766,0.5044621804395082,0.893194610035228,0.509020071411942,0.865833812097442
1704,17,45,0.8004085619037001,0.7787946904572547,0.716192098507699,0.923066661787121,0.7178392751272995,0.917939524831216
1705,17,45,0.5935939336552513,0.5444001853970413,0.43492873265042653,0.8366928210179269,0.4368890003848698,0.8309329728669831
1706,17,45,0.5927974824454171,0.5058164412134465,0.39872935361483863,0.8491839419364412,0.4046877870810132,0.8414823231327049
1707,17,45,0.5962349866477104,0.5453126319035069,0.435806725371954,0.8564547395741059,0.4411394800826977,0.852422339674755
1708,17,45,0.5921705798447388,0.5735323981752745,0.3979524571422557,0.8583151709438754,0.4036187770745088,0.8316937718407491
1709,17,45,0.6819325578696007,0.6098518358713703,0.5379259860010348,0.8908591103443331,0.5542569842240207,0.886073728032214
1710,17,45,0.6424665661255602,0.5985269485549083,0.47368276044041074,0.8648965892855138,0.48562972393248816,0.8409735111548998
1711,17,45,0.6408253085849748,0.5778967090522866,0.4896204258672634,0.8840391520933063,0.4919405088901164,0.87256917673971
1712,17,45,0.596172222857561,0.5622400830947035,0.41404201947043695,0.8717790243989658,0.4204775168377689,0.826788911803245
1800,18,45,0.7115981770669932,0.6756012058505263,0.5848356222131896,0.8961455896519723,0.5880926743831038,0.8839125143916535
1802,18,45,0.6319198065840479,0.5632331684176992,0.4485538457311488,0.8749162596204489,0.46897646864181775,0.8598112653707541
1803,18,45,0.6346680362080354,0.5813519870875438,0.4757355004567143,0.8649193388721917,0.49074975656896747,0.8419245292748475
1804,18,45,0.6901380652682588,0.6273012928083744,0.5690720047243805,0.8879765537194433,0.5736455523443922,0.8831738457921366
1902,19,45,0.6771215542279649,0.6265293328164763,0.5291200989621786,0.8856438003073169,0.5656167854501944,0.8682153079998397
