field_id,metric,model,input_condition,effect26k,effect52k,difference,sign_changed
11,cka,specter,title,0.1832103740971086,0.18662970381654825,0.0034193297194396455,False
11,cka,specter,abstract,0.31745242503966964,0.3163745059537016,-0.0010779190859680488,False
11,cka,specter2,title,0.212755783686365,0.21415826869441917,0.0014024850080541773,False
11,cka,specter2,abstract,0.34834004878951924,0.3491900437103576,0.0008499949208383706,False
11,cka,scincl,title,0.17910460118188815,0.18429223787502008,0.005187636693131936,False
11,cka,scincl,abstract,0.333870434774248,0.3326527591878979,-0.0012176755863501088,False
11,cka,scibert,title,-0.19102195637741992,-0.18384403163747792,0.007177924739941999,False
11,cka,scibert,abstract,0.3500976230507359,0.35065976840545826,0.0005621453547223765,False
11,cka,bert,title,-0.056039191535585786,-0.04757250642470329,0.0084666851108825,False
11,cka,bert,abstract,0.3561719050197516,0.3561913566565524,1.9451636800782435e-05,False
11,cka,mpnet,title,0.19585485786300427,0.19734008060949054,0.00148522274648627,False
11,cka,mpnet,abstract,0.33645393130037693,0.3370877901579042,0.0006338588575272586,False
11,cka,minilm,title,0.14513027916206456,0.1476833275165766,0.002553048354512033,False
11,cka,minilm,abstract,0.34298284541674584,0.34142077777535346,-0.001562067641392384,False
11,cka,pubmedbert,title,-0.11984461861435497,-0.11794905273477602,0.0018955658795789532,False
11,cka,pubmedbert,abstract,0.3956633255315906,0.3907457667865361,-0.004917558745054507,False
11,cka,biobert,title,-0.28049506926780277,-0.2852495415856701,-0.004754472317867353,False
11,cka,biobert,abstract,0.3650122753834091,0.36019108157116214,-0.004821193812246938,False
11,cka,simcse,title,-0.08024965668270334,-0.07606072108420325,0.0041889355985000876,False
11,cka,simcse,abstract,0.4124647430786911,0.4106105119091187,-0.0018542311695723956,False
11,rsa,specter,title,0.24254073862385006,0.22829823683074246,-0.014242501793107598,False
11,rsa,specter,abstract,0.41849025349422175,0.4037680995829168,-0.014722153911304936,False
11,rsa,specter2,title,0.3770087061643562,0.3560245929082292,-0.020984113256127035,False
11,rsa,specter2,abstract,0.5420746013910206,0.5304863439918869,-0.011588257399133717,False
11,rsa,scincl,title,0.27484073485293553,0.2767909778943136,0.0019502430413780858,False
11,rsa,scincl,abstract,0.44386862473700833,0.43926790000200433,-0.004600724735004003,False
11,rsa,scibert,title,-0.23193198184966363,-0.23547676221085895,-0.003544780361195321,False
11,rsa,scibert,abstract,0.43252187847946905,0.4288625421489946,-0.0036593363304744386,False
11,rsa,bert,title,-0.002665691220330002,0.010837563306426545,0.013503254526756547,True
