repeats,field_id,model,input_condition,original_31_alert,alert26k,alert52k,transition,width26k,width52k,full_effect26k,full_effect52k,crosses_zero26k,crosses_zero52k
20,12,bert,title,True,True,True,persists,0.04298226458559165,0.04311093203910829,-0.20584460937233806,-0.20390892354594414,False,False
20,19,biobert,abstract,True,True,True,persists,0.05098701150410123,0.04376506158392446,0.30156991209722733,0.3103037685811608,False,False
20,24,biobert,abstract,True,True,True,persists,0.0907540776511988,0.0566806494774143,0.3869730115656329,0.34846819568290527,False,False
20,36,pubmedbert,title,False,False,True,new,0.037023744936020495,0.04080461858338562,-0.1370398721880215,-0.13257458901328434,False,False
100,11,biobert,abstract,True,True,True,persists,0.05938207654897559,0.0473611624726723,0.3650122753834091,0.36019108157116214,False,False
100,19,biobert,abstract,True,True,True,persists,0.0527620834631819,0.04498812853662487,0.30156991209722733,0.3103037685811608,False,False
100,20,biobert,abstract,True,True,True,persists,0.0763645306296255,0.041539947355155815,0.4030308977111697,0.39599991867444956,False,False
100,24,biobert,abstract,True,True,True,persists,0.11397420670297514,0.06295636101484764,0.3869730115656329,0.34846819568290527,False,False
100,36,pubmedbert,title,False,True,True,persists,0.04554885312406136,0.0400089636601936,-0.1370398721880215,-0.13257458901328434,False,False
