outcome,recipe,rank,columns,identified,condition_number,r_squared
cka_primary,mean,7,7,True,7.90627029270589,0.7407675496457281
cka_equal2048,mean,7,7,True,7.90627029270589,0.7407191144622526
cka_quality,mean,7,7,True,7.90627029270589,0.7520478769510524
cka_cls,cls,7,7,True,18.593898435305594,0.4590986636674824
cka_sep,sep,7,7,True,8.325946856395205,0.25753133342925016
neighbors_2048_mean_k25,mean,7,7,True,7.90627029270589,0.7585284704095776
neighbors_2048_cls_k25,cls,7,7,True,18.593898435305594,0.5067203619211704
neighbors_2048_sep_k25,sep,7,7,True,8.325946856395205,0.44166810895557973
