subfield_id,field_id,repeat,k,subfield,field,subfield_minus_field
1100,11,0,10,0.3879555555555556,0.4030222222222223,-0.015066666666666673
1100,11,1,10,0.36071111111111115,0.4138222222222222,-0.05311111111111105
1100,11,2,10,0.3727111111111111,0.42008888888888885,-0.04737777777777774
1100,11,3,10,0.3891111111111112,0.4073777777777778,-0.018266666666666598
1100,11,4,10,0.39364444444444446,0.4167111111111111,-0.023066666666666624
1100,11,5,10,0.37284444444444437,0.41231111111111113,-0.03946666666666676
1100,11,6,10,0.3901333333333333,0.40702222222222223,-0.016888888888888953
1100,11,7,10,0.3781333333333333,0.39266666666666666,-0.014533333333333343
1100,11,8,10,0.37404444444444446,0.41955555555555557,-0.04551111111111111
1100,11,9,10,0.3753777777777778,0.42253333333333337,-0.04715555555555556
1100,11,0,25,0.4508088888888889,0.4883733333333333,-0.0375644444444444
1100,11,1,25,0.4357333333333333,0.4905422222222222,-0.05480888888888891
1100,11,2,25,0.4470755555555555,0.49848888888888887,-0.051413333333333366
1100,11,3,25,0.4521422222222223,0.48682666666666663,-0.03468444444444435
1100,11,4,25,0.45114666666666664,0.5021155555555555,-0.0509688888888889
1100,11,5,25,0.4491555555555556,0.49591111111111114,-0.04675555555555555
1100,11,6,25,0.45772444444444443,0.4872177777777778,-0.02949333333333337
1100,11,7,25,0.44394666666666666,0.48096000000000005,-0.0370133333333334
1100,11,8,25,0.44656,0.5011022222222222,-0.054542222222222214
1100,11,9,25,0.45224888888888887,0.49315555555555557,-0.0409066666666667
1100,11,0,50,0.5339822222222221,0.5655999999999999,-0.031617777777777745
1100,11,1,50,0.5176355555555555,0.5637422222222223,-0.04610666666666674
1100,11,2,50,0.5255555555555556,0.5722222222222222,-0.046666666666666634
1100,11,3,50,0.5324266666666667,0.5713777777777778,-0.03895111111111105
1100,11,4,50,0.53552,0.5749688888888889,-0.03944888888888887
1100,11,5,50,0.5324444444444444,0.5695022222222221,-0.037057777777777745
1100,11,6,50,0.5341244444444445,0.5637422222222223,-0.029617777777777743
1100,11,7,50,0.5322666666666667,0.5614577777777778,-0.029191111111111168
1100,11,8,50,0.5319111111111111,0.5721511111111112,-0.040240000000000054
1100,11,9,50,0.5337955555555556,0.5600088888888888,-0.0262133333333332
1102,11,0,10,0.41119999999999995,0.40928888888888887,0.0019111111111110857
1102,11,1,10,0.3988444444444445,0.41888888888888887,-0.020044444444444365
1102,11,2,10,0.4173777777777778,0.4265333333333334,-0.009155555555555583
1102,11,3,10,0.3896,0.41102222222222223,-0.02142222222222223
1102,11,4,10,0.38360000000000005,0.425911111111111,-0.042311111111110966
1102,11,5,10,0.41364444444444454,0.41888888888888887,-0.0052444444444443294
1102,11,6,10,0.4097777777777778,0.4219111111111111,-0.01213333333333333
1102,11,7,10,0.3939999999999999,0.4161333333333333,-0.022133333333333394
1102,11,8,10,0.38408888888888887,0.42471111111111115,-0.04062222222222228
1102,11,9,10,0.3968888888888889,0.4283555555555555,-0.03146666666666659
1102,11,0,25,0.50016,0.49232,0.00784000000000007
1102,11,1,25,0.48990222222222224,0.5020266666666667,-0.012124444444444493
1102,11,2,25,0.4936177777777778,0.5075555555555555,-0.013937777777777716
1102,11,3,25,0.49326222222222216,0.4926222222222222,0.0006399999999999739
1102,11,4,25,0.47745777777777776,0.512568888888889,-0.035111111111111204
1102,11,5,25,0.5025066666666668,0.4984711111111111,0.004035555555555681
1102,11,6,25,0.49336888888888886,0.5059555555555556,-0.012586666666666746
1102,11,7,25,0.49212444444444436,0.4956444444444445,-0.003520000000000134
1102,11,8,25,0.4871466666666667,0.4962133333333334,-0.009066666666666723
1102,11,9,25,0.48734222222222223,0.5043377777777779,-0.016995555555555653
1102,11,0,50,0.5800355555555555,0.5599555555555555,0.020079999999999987
1102,11,1,50,0.5727466666666667,0.5669333333333334,0.005813333333333337
1102,11,2,50,0.5717866666666667,0.57496,-0.0031733333333333613
1102,11,3,50,0.5819555555555556,0.5589511111111112,0.023004444444444383
1102,11,4,50,0.5613333333333334,0.5721244444444444,-0.010791111111111085
1102,11,5,50,0.5769244444444446,0.5696266666666667,0.007297777777777847
1102,11,6,50,0.5685422222222223,0.5738666666666667,-0.005324444444444465
1102,11,7,50,0.5743466666666667,0.5663466666666667,0.008000000000000007
1102,11,8,50,0.5736177777777778,0.5755377777777777,-0.0019199999999999218
1102,11,9,50,0.5656088888888889,0.5675466666666666,-0.001937777777777705
1103,11,0,10,0.36519999999999997,0.4059111111111111,-0.04071111111111114
1103,11,1,10,0.3529333333333334,0.3969777777777778,-0.04404444444444444
1103,11,2,10,0.3609333333333333,0.3852444444444444,-0.024311111111111117
1103,11,3,10,0.35075555555555554,0.40288888888888885,-0.05213333333333331
1103,11,4,10,0.3657777777777778,0.40906666666666675,-0.04328888888888893
1103,11,5,10,0.38373333333333337,0.4119111111111111,-0.028177777777777746
1103,11,6,10,0.36235555555555565,0.3998222222222222,-0.03746666666666654
1103,11,7,10,0.35982222222222227,0.4046222222222222,-0.04479999999999995
1103,11,8,10,0.3515111111111111,0.41533333333333333,-0.06382222222222222
1103,11,9,10,0.3779111111111111,0.4025777777777778,-0.024666666666666726
1103,11,0,25,0.44204444444444446,0.49809777777777775,-0.05605333333333329
1103,11,1,25,0.43848888888888893,0.4856711111111111,-0.04718222222222218
1103,11,2,25,0.4401777777777777,0.4845511111111111,-0.044373333333333376
1103,11,3,25,0.4380977777777777,0.4970488888888889,-0.058951111111111176
1103,11,4,25,0.44318222222222226,0.5051733333333334,-0.06199111111111111
1103,11,5,25,0.4554844444444444,0.5036977777777778,-0.048213333333333386
1103,11,6,25,0.4468977777777778,0.49980444444444444,-0.05290666666666666
1103,11,7,25,0.4419199999999999,0.5067377777777778,-0.06481777777777792
1103,11,8,25,0.44508444444444445,0.49904000000000004,-0.05395555555555559
1103,11,9,25,0.46405333333333326,0.49934222222222224,-0.03528888888888898
1103,11,0,50,0.5290399999999998,0.5774488888888889,-0.04840888888888906
1103,11,1,50,0.5322933333333333,0.5723288888888889,-0.0400355555555556
1103,11,2,50,0.5333600000000001,0.5737866666666667,-0.04042666666666661
1103,11,3,50,0.5314666666666666,0.58544,-0.05397333333333332
1103,11,4,50,0.5370844444444445,0.5928177777777778,-0.0557333333333333
1103,11,5,50,0.5284533333333333,0.5712533333333334,-0.04280000000000006
1103,11,6,50,0.5317511111111111,0.5850222222222223,-0.05327111111111127
1103,11,7,50,0.5367199999999999,0.5829777777777778,-0.04625777777777795
1103,11,8,50,0.54112,0.5765511111111112,-0.03543111111111119
1103,11,9,50,0.5553155555555556,0.5841244444444444,-0.028808888888888884
1104,11,0,10,0.3908,0.4146222222222222,-0.023822222222222245
1104,11,1,10,0.38253333333333345,0.3936,-0.011066666666666558
1104,11,2,10,0.37946666666666673,0.4056,-0.026133333333333286
1104,11,3,10,0.38408888888888887,0.4096000000000001,-0.025511111111111207
1104,11,4,10,0.3871111111111111,0.40982222222222225,-0.022711111111111182
1104,11,5,10,0.37346666666666656,0.42044444444444445,-0.046977777777777896
1104,11,6,10,0.38102222222222215,0.4245777777777777,-0.04355555555555557
1104,11,7,10,0.39373333333333327,0.4076888888888888,-0.013955555555555554
1104,11,8,10,0.3851111111111111,0.4194222222222222,-0.03431111111111107
1104,11,9,10,0.40084444444444445,0.41768888888888894,-0.016844444444444495
1104,11,0,25,0.47135999999999995,0.5042844444444444,-0.03292444444444448
1104,11,1,25,0.4701866666666667,0.47976888888888886,-0.009582222222222159
1104,11,2,25,0.47660444444444444,0.4823111111111112,-0.005706666666666749
1104,11,3,25,0.4694222222222222,0.4824,-0.01297777777777781
1104,11,4,25,0.46449777777777773,0.4807288888888888,-0.016231111111111085
1104,11,5,25,0.4689244444444445,0.4963911111111111,-0.02746666666666664
1104,11,6,25,0.4608711111111111,0.4939911111111111,-0.03311999999999998
1104,11,7,25,0.4847644444444444,0.4922666666666667,-0.007502222222222299
1104,11,8,25,0.4746666666666667,0.4931199999999999,-0.01845333333333321
1104,11,9,25,0.4723377777777778,0.49788444444444446,-0.025546666666666662
1104,11,0,50,0.5525511111111111,0.5685955555555556,-0.016044444444444528
1104,11,1,50,0.5558222222222222,0.5544444444444445,0.0013777777777777
1104,11,2,50,0.5692444444444444,0.5554844444444446,0.013759999999999883
1104,11,3,50,0.5557599999999999,0.54864,0.007119999999999904
1104,11,4,50,0.5518933333333333,0.55032,0.0015733333333333155
1104,11,5,50,0.5657777777777778,0.5622488888888889,0.0035288888888889147
1104,11,6,50,0.5537777777777778,0.5597955555555556,-0.0060177777777777886
1104,11,7,50,0.5720711111111112,0.5673422222222222,0.004728888888889005
