subfield_id,corpus_rows,small_n,large_n,model_a,model_b,repeats,median_small,median_large,median_size_change,central95_width,passes_operational_screen,large_sample_equals_whole_group
1100,1163,256,512,specter,pubmedbert,20,0.4646820863786185,0.45813690211120495,0.006545184267413573,0.04974680268458476,False,False
1100,1163,256,512,specter,biobert,20,0.463261752650571,0.4426559272345536,0.02060582541601741,0.07259042492460471,False,False
1100,1163,256,512,specter2,pubmedbert,20,0.4426994817071024,0.4479281713618043,0.005228689654701912,0.04511041054308518,False,False
1100,1163,256,512,specter2,biobert,20,0.4602068779752032,0.44964427066340473,0.010562607311798478,0.0620370687063973,False,False
1100,1163,256,512,scincl,bert,20,0.4771056860244889,0.48415058943952927,0.007044903415040382,0.04001324149826735,False,False
1100,1163,256,512,scincl,pubmedbert,20,0.4229949025290958,0.4286167943709217,0.005621891841825932,0.04249680799152339,False,False
1100,1163,256,512,scincl,biobert,20,0.4280651181151537,0.4180325846337838,0.010032533481369899,0.06223807524377167,False,False
1100,1163,256,512,scincl,simcse,20,0.5020025889667413,0.5045074427895392,0.002504853822797859,0.0430695971609783,False,False
1100,1163,256,512,scibert,biobert,20,0.813651047476434,0.8060183718883008,0.0076326755881331865,0.05194847603308683,False,False
1100,1163,256,512,bert,biobert,20,0.7714603409954788,0.7645215255252231,0.006938815470255655,0.04975981617448133,False,False
1100,1163,256,512,mpnet,pubmedbert,20,0.4839465951911449,0.48488964349839925,0.000943048307254335,0.048585748307148735,False,False
1100,1163,256,512,mpnet,biobert,20,0.5013740798559352,0.49137559532812736,0.009998484527807827,0.07127056936921217,False,False
1100,1163,256,512,minilm,pubmedbert,20,0.4749495483113508,0.48350893297857556,0.008559384667224779,0.045503372709914336,False,False
1100,1163,256,512,minilm,biobert,20,0.49214543324403887,0.487761227629123,0.00438420561491587,0.06939874288898695,False,False
1100,1163,256,512,biobert,simcse,20,0.6039873624152796,0.59290552419714,0.011081838218139572,0.06530933463211475,False,False
1102,1255,256,512,specter,pubmedbert,20,0.536051262334962,0.531565921010037,0.004485341324925063,0.05789108373656299,False,False
1102,1255,256,512,specter,biobert,20,0.5835707421502606,0.5737195415686808,0.009851200581579844,0.04403394511290715,False,False
1102,1255,256,512,specter2,pubmedbert,20,0.5067931679662072,0.5038542102617829,0.0029389577044243165,0.04877759369516449,False,False
1102,1255,256,512,specter2,biobert,20,0.5565632639970739,0.5551228143141408,0.0014404496829331093,0.042264806623790396,False,False
1102,1255,256,512,scincl,pubmedbert,20,0.5030019856250942,0.5013885957184885,0.0016133899066057555,0.053985737293056224,False,False
1102,1255,256,512,scincl,biobert,20,0.5558294224761806,0.5526584267629004,0.003170995713280167,0.04228682064107481,False,False
1102,1255,256,512,bert,pubmedbert,20,0.7617947845796225,0.7585657080283821,0.003229076551240384,0.04020361128360528,False,False
1102,1255,256,512,mpnet,pubmedbert,20,0.5285460073621051,0.5197426962978019,0.00880331106430321,0.053037786066236936,False,False
1102,1255,256,512,mpnet,biobert,20,0.5796986011705508,0.5761855454560764,0.0035130557144744667,0.04756781778168684,False,False
1102,1255,256,512,minilm,pubmedbert,20,0.5064493597885691,0.5056300433024974,0.0008193164860716973,0.04966160084325438,False,False
1102,1255,256,512,minilm,biobert,20,0.5611601330192014,0.5555292972071408,0.005630835812060586,0.04212481801236334,False,False
1102,1255,256,512,pubmedbert,simcse,20,0.6341739355776113,0.6342505576836519,7.66221060406469e-05,0.04070976391571346,False,False
1103,1099,256,512,specter,scibert,20,0.5848135537766879,0.5824795276243172,0.0023340261523706607,0.047706376057182975,False,False
1103,1099,256,512,specter,bert,20,0.5899135998991196,0.5879004024188751,0.002013197480244533,0.050250662585350936,False,False
1103,1099,256,512,specter,pubmedbert,20,0.5003267777859101,0.4920216429282126,0.00830513485769746,0.06749886218718043,False,False
1103,1099,256,512,specter,biobert,20,0.600556772719743,0.5871432347199053,0.013413537999837688,0.06882787005267976,False,False
1103,1099,256,512,specter,simcse,20,0.5532592091900688,0.5508845154355102,0.0023746937545585656,0.043251576828423954,False,False
1103,1099,256,512,specter2,scibert,20,0.5449054271806293,0.5488557763464863,0.0039503491658570145,0.04370541716191445,False,False
