field_id,condition,metric,model_group,n,mean,median,min,max,p025,p975
11,equal_subfield_composition,cka_debiased,all,10,0.6311111491931087,0.6307085187543959,0.627137982521258,0.6383044837819194,0.6271674904725296,0.6376484518066884
11,equal_subfield_composition,cka_debiased,without_biomedical,10,0.6458763787950879,0.645261917501001,0.6420761138033776,0.6512321221006131,0.642192012082603,0.6512010140358129
11,equal_subfield_composition,cka_debiased,one_biomedical,10,0.5914313280251877,0.5894901318264296,0.5851396486734728,0.6023057809725454,0.5851648744866919,0.6011673938676751
11,equal_subfield_composition,cka_debiased,both_biomedical,10,0.8525618590244226,0.8525556146288618,0.8481717004525878,0.8561810816502938,0.8485954372838042,0.8560281940930488
11,equal_subfield_composition,neighbors_k10,all,10,0.2849242621527778,0.2844818793402778,0.2832020399305556,0.28859809027777783,0.2833065321180556,0.2882357855902778
11,equal_subfield_composition,neighbors_k10,without_biomedical,10,0.28648402622767855,0.28595929827008926,0.28443429129464287,0.2918230329241071,0.2844801984514509,0.2910033743722098
11,equal_subfield_composition,neighbors_k10,one_biomedical,10,0.26806365966796875,0.267828369140625,0.266339111328125,0.27073974609375,0.2663404846191406,0.2705001068115235
11,equal_subfield_composition,neighbors_k10,both_biomedical,10,0.5110205078125001,0.5110107421875,0.500244140625,0.51728515625,0.501947021484375,0.51728515625
11,equal_subfield_composition,neighbors_k25,all,10,0.3325348524305555,0.33258984375,0.32992925347222224,0.3341671006944444,0.33022661675347226,0.3341033311631944
11,equal_subfield_composition,neighbors_k25,without_biomedical,10,0.33448876953124995,0.3347412109375,0.3311314174107142,0.33699497767857134,0.3316264299665178,0.33672377232142847
11,equal_subfield_composition,neighbors_k25,one_biomedical,10,0.3150684814453125,0.31476623535156245,0.313294677734375,0.31890869140625,0.3133108825683594,0.31835113525390624
11,equal_subfield_composition,neighbors_k25,both_biomedical,10,0.557287109375,0.558876953125,0.5495703125,0.56126953125,0.55044921875,0.5609575195312501
11,equal_subfield_composition,neighbors_k50,all,10,0.37400631510416665,0.3742802734375,0.3713493923611111,0.3760273437500001,0.3716096950954861,0.37591171875000007
11,equal_subfield_composition,neighbors_k50,without_biomedical,10,0.37673085239955356,0.37714512416294643,0.37342285156250005,0.3782383510044643,0.37375471714564734,0.37822626604352677
11,equal_subfield_composition,neighbors_k50,one_biomedical,10,0.35554132080078127,0.355469970703125,0.3531158447265625,0.3589794921875,0.3532125244140625,0.3585301513671875
11,equal_subfield_composition,neighbors_k50,both_biomedical,10,0.5931591796875,0.5946875,0.586328125,0.598154296875,0.586804931640625,0.59760498046875
11,equal_subfield_composition,rsa_spearman,all,10,0.5386155521933855,0.538744326814344,0.529092386893498,0.5438621275441551,0.5306581705897924,0.5437383496185707
11,equal_subfield_composition,rsa_spearman,without_biomedical,10,0.538195806024643,0.5380793744752161,0.5280444485368436,0.5440108752265808,0.5294688144344691,0.543824091464028
11,equal_subfield_composition,rsa_spearman,one_biomedical,10,0.5182889550237222,0.5181258681715019,0.5094338507380223,0.5240861253049338,0.51097682310975,0.5235174239381051
11,equal_subfield_composition,rsa_spearman,both_biomedical,10,0.8755939996327861,0.8755788079294444,0.8717986292325004,0.8793574298258946,0.8719650838579539,0.8792511089968041
11,observed_eligible_composition,cka_debiased,all,10,0.6174812843460096,0.6181071386502373,0.6102019849415495,0.6249923448609498,0.61048879818615,0.6239946949800094
11,observed_eligible_composition,cka_debiased,without_biomedical,10,0.6304577704641987,0.6311663738564905,0.624860701672877,0.6355415279931683,0.6251511859542214,0.6349562059052818
11,observed_eligible_composition,cka_debiased,one_biomedical,10,0.5805698218264375,0.5811068823658554,0.5675922558348019,0.5923288033826883,0.5689395236083843,0.5910275862593102
11,observed_eligible_composition,cka_debiased,both_biomedical,10,0.8447230733498674,0.8443811511585071,0.8392704266940323,0.8522318808110141,0.8394155224838289,0.8515764005640934
11,observed_eligible_composition,neighbors_k10,all,10,0.2808824869791667,0.2807986111111111,0.2770572916666667,0.2879546440972222,0.2773207194010417,0.2867998589409722
11,observed_eligible_composition,neighbors_k10,without_biomedical,10,0.2808604213169643,0.2801138741629464,0.27694963727678573,0.28817313058035715,0.2772195870535714,0.28691009521484373
11,observed_eligible_composition,neighbors_k10,one_biomedical,10,0.2665615844726562,0.26550445556640623,0.26281433105468754,0.2731781005859375,0.26312744140625005,0.27218040466308596
11,observed_eligible_composition,neighbors_k10,both_biomedical,10,0.5106347656249999,0.510791015625,0.504443359375,0.51826171875,0.504520263671875,0.51762451171875
11,observed_eligible_composition,neighbors_k25,all,10,0.3261229166666667,0.32577539062499994,0.3221336805555556,0.33308897569444446,0.32257157118055557,0.33194014756944445
11,observed_eligible_composition,neighbors_k25,without_biomedical,10,0.3264693080357143,0.3264208984375,0.3216106305803571,0.3331201171874999,0.3222986886160714,0.33199354771205347
11,observed_eligible_composition,neighbors_k25,one_biomedical,10,0.31123034667968746,0.310479736328125,0.30822875976562497,0.31899169921875004,0.3083828430175781,0.31771234130859377
11,observed_eligible_composition,neighbors_k25,both_biomedical,10,0.554705078125,0.555419921875,0.5462109375,0.5592578125,0.5471206054687501,0.5592402343749999
11,observed_eligible_composition,neighbors_k50,all,10,0.3663647135416667,0.36624707031250003,0.361521484375,0.371732421875,0.36228144531249995,0.370867431640625
11,observed_eligible_composition,neighbors_k50,without_biomedical,10,0.36717149135044636,0.3672157505580357,0.36143310546875,0.3724518694196428,0.3625092163085938,0.37157531738281246
11,observed_eligible_composition,neighbors_k50,one_biomedical,10,0.35102642822265623,0.35078460693359376,0.34721496582031247,0.35670166015625,0.3475690002441406,0.35585585021972654
11,observed_eligible_composition,neighbors_k50,both_biomedical,10,0.5891875,0.5887988281250001,0.583876953125,0.59361328125,0.584309814453125,0.593452880859375
11,observed_eligible_composition,rsa_spearman,all,10,0.5391400936650835,0.5416339512016182,0.5288769987866593,0.546613222726433,0.5290961241928996,0.546491020456075
