Vecinos specter: 35/2015, n=2,165, 0.1s
Vecinos specter: 35/2020, n=2,165, 0.1s
Vecinos specter: 36/2000, n=2,165, 0.1s
Vecinos specter: 36/2005, n=2,165, 0.1s
Vecinos specter: 36/2010, n=2,165, 0.1s
Vecinos specter: 36/2015, n=2,165, 0.1s
Vecinos specter: 36/2020, n=2,833, 0.2s
Vecinos specter2: 11/2000, n=2,166, 0.1s
Vecinos specter2: 11/2005, n=2,528, 0.2s
Vecinos specter2: 11/2010, n=3,940, 0.4s
Vecinos specter2: 11/2015, n=4,298, 0.5s
Vecinos specter2: 11/2020, n=6,491, 1.0s
Vecinos specter2: 12/2000, n=2,166, 0.1s
Vecinos specter2: 12/2005, n=2,166, 0.1s
Vecinos specter2: 12/2010, n=2,186, 0.1s
Vecinos specter2: 12/2015, n=2,732, 0.2s
Vecinos specter2: 12/2020, n=3,380, 0.3s
Vecinos specter2: 13/2000, n=2,739, 0.2s
Vecinos specter2: 13/2005, n=4,071, 0.3s
Vecinos specter2: 13/2010, n=5,251, 0.5s
Vecinos specter2: 13/2015, n=5,596, 0.7s
Vecinos specter2: 13/2020, n=6,840, 1.0s
Vecinos specter2: 14/2000, n=2,166, 0.1s
Vecinos specter2: 14/2005, n=2,166, 0.1s
Vecinos specter2: 14/2010, n=2,186, 0.1s
Vecinos specter2: 14/2015, n=2,660, 0.2s
Vecinos specter2: 14/2020, n=4,040, 0.3s
Vecinos specter2: 15/2000, n=2,166, 0.1s
Vecinos specter2: 15/2005, n=2,166, 0.1s
Vecinos specter2: 15/2010, n=2,166, 0.1s
Vecinos specter2: 15/2015, n=2,166, 0.1s
Vecinos specter2: 15/2020, n=2,166, 0.1s
Vecinos specter2: 16/2000, n=2,166, 0.1s
Vecinos specter2: 16/2005, n=2,166, 0.1s
Vecinos specter2: 16/2010, n=2,166, 0.1s
Vecinos specter2: 16/2015, n=2,166, 0.1s
Vecinos specter2: 16/2020, n=2,166, 0.1s
Vecinos specter2: 17/2000, n=3,310, 0.2s
Vecinos specter2: 17/2005, n=5,594, 0.5s
Vecinos specter2: 17/2010, n=7,094, 0.8s
Vecinos specter2: 17/2015, n=6,858, 0.7s
Vecinos specter2: 17/2020, n=9,972, 1.4s
Vecinos specter2: 18/2000, n=2,166, 0.1s
Vecinos specter2: 18/2005, n=2,166, 0.1s
Vecinos specter2: 18/2010, n=2,166, 0.1s
Vecinos specter2: 18/2015, n=2,166, 0.1s
Vecinos specter2: 18/2020, n=2,166, 0.1s
Vecinos specter2: 19/2000, n=2,166, 0.1s
Vecinos specter2: 19/2005, n=2,166, 0.1s
Vecinos specter2: 19/2010, n=2,166, 0.1s
Vecinos specter2: 19/2015, n=2,166, 0.1s
Vecinos specter2: 19/2020, n=2,166, 0.1s
Vecinos specter2: 20/2000, n=2,166, 0.1s
Vecinos specter2: 20/2005, n=2,166, 0.1s
Vecinos specter2: 20/2010, n=2,166, 0.1s
Vecinos specter2: 20/2015, n=2,166, 0.1s
Vecinos specter2: 20/2020, n=2,845, 0.2s
Vecinos specter2: 21/2000, n=2,166, 0.1s
Vecinos specter2: 21/2005, n=2,166, 0.1s
Vecinos specter2: 21/2010, n=2,166, 0.1s
Vecinos specter2: 21/2015, n=2,166, 0.1s
Vecinos specter2: 21/2020, n=2,166, 0.1s
Vecinos specter2: 22/2000, n=6,990, 0.7s
Vecinos specter2: 22/2005, n=11,310, 1.7s
Vecinos specter2: 22/2010, n=15,203, 4.0s
Vecinos specter2: 22/2015, n=14,738, 4.1s
Vecinos specter2: 22/2020, n=18,907, 6.1s
Vecinos specter2: 23/2000, n=2,166, 0.1s
Vecinos specter2: 23/2005, n=2,876, 0.2s
Vecinos specter2: 23/2010, n=4,005, 0.3s
Vecinos specter2: 23/2015, n=4,018, 0.4s
Vecinos specter2: 23/2020, n=5,919, 0.8s
Vecinos specter2: 24/2000, n=2,166, 0.1s
Vecinos specter2: 24/2005, n=2,166, 0.1s
Vecinos specter2: 24/2010, n=2,166, 0.1s
Vecinos specter2: 24/2015, n=2,166, 0.1s
Vecinos specter2: 24/2020, n=2,166, 0.1s
Vecinos specter2: 25/2000, n=2,166, 0.1s
Vecinos specter2: 25/2005, n=2,166, 0.1s
Vecinos specter2: 25/2010, n=2,962, 0.2s
Vecinos specter2: 25/2015, n=3,152, 0.2s
Vecinos specter2: 25/2020, n=3,787, 0.3s
Vecinos specter2: 26/2000, n=2,166, 0.1s
Vecinos specter2: 26/2005, n=2,166, 0.1s
Vecinos specter2: 26/2010, n=2,166, 0.1s
Vecinos specter2: 26/2015, n=2,166, 0.1s
Vecinos specter2: 26/2020, n=2,166, 0.1s
Vecinos specter2: 27/2000, n=7,128, 1.0s
Vecinos specter2: 27/2005, n=10,946, 2.4s
Vecinos specter2: 27/2010, n=15,771, 4.7s
Vecinos specter2: 27/2015, n=18,629, 6.5s
Vecinos specter2: 27/2020, n=26,195, 12.3s
Vecinos specter2: 28/2000, n=2,166, 0.1s
Vecinos specter2: 28/2005, n=2,166, 0.1s
Vecinos specter2: 28/2010, n=2,166, 0.1s
Vecinos specter2: 28/2015, n=2,166, 0.1s
Vecinos specter2: 28/2020, n=2,166, 0.1s
Vecinos specter2: 29/2000, n=2,166, 0.1s
Vecinos specter2: 29/2005, n=2,166, 0.1s
Vecinos specter2: 29/2010, n=2,166, 0.1s
Vecinos specter2: 29/2015, n=2,166, 0.1s
Vecinos specter2: 29/2020, n=2,166, 0.1s
Vecinos specter2: 30/2000, n=2,166, 0.1s
Vecinos specter2: 30/2005, n=2,166, 0.1s
Vecinos specter2: 30/2010, n=2,166, 0.1s
Vecinos specter2: 30/2015, n=2,166, 0.1s
Vecinos specter2: 30/2020, n=2,166, 0.1s
Vecinos specter2: 31/2000, n=2,166, 0.1s
Vecinos specter2: 31/2005, n=2,704, 0.1s
Vecinos specter2: 31/2010, n=3,094, 0.2s
Vecinos specter2: 31/2015, n=3,388, 0.3s
Vecinos specter2: 31/2020, n=3,470, 0.3s
Vecinos specter2: 32/2000, n=2,166, 0.1s
Vecinos specter2: 32/2005, n=2,166, 0.1s
Vecinos specter2: 32/2010, n=2,166, 0.1s
Vecinos specter2: 32/2015, n=2,577, 0.2s
Vecinos specter2: 32/2020, n=3,970, 0.3s
Vecinos specter2: 33/2000, n=2,776, 0.2s
Vecinos specter2: 33/2005, n=4,893, 0.5s
Vecinos specter2: 33/2010, n=7,110, 1.0s
Vecinos specter2: 33/2015, n=8,891, 1.5s
Vecinos specter2: 33/2020, n=13,879, 3.6s
Vecinos specter2: 34/2000, n=2,166, 0.1s
Vecinos specter2: 34/2005, n=2,166, 0.1s
Vecinos specter2: 34/2010, n=2,165, 0.1s
Vecinos specter2: 34/2015, n=2,165, 0.1s
Vecinos specter2: 34/2020, n=2,165, 0.1s
Vecinos specter2: 35/2000, n=2,165, 0.1s
Vecinos specter2: 35/2005, n=2,165, 0.1s
Vecinos specter2: 35/2010, n=2,165, 0.1s
Vecinos specter2: 35/2015, n=2,165, 0.1s
Vecinos specter2: 35/2020, n=2,165, 0.1s
Vecinos specter2: 36/2000, n=2,165, 0.1s
Vecinos specter2: 36/2005, n=2,165, 0.1s
Vecinos specter2: 36/2010, n=2,165, 0.1s
Vecinos specter2: 36/2015, n=2,165, 0.1s
Vecinos specter2: 36/2020, n=2,833, 0.2s
Vecinos scincl: 11/2000, n=2,166, 0.1s
Vecinos scincl: 11/2005, n=2,528, 0.1s
Vecinos scincl: 11/2010, n=3,940, 0.4s
Vecinos scincl: 11/2015, n=4,298, 0.4s
Vecinos scincl: 11/2020, n=6,491, 0.9s
Vecinos scincl: 12/2000, n=2,166, 0.1s
Vecinos scincl: 12/2005, n=2,166, 0.1s
Vecinos scincl: 12/2010, n=2,186, 0.1s
Vecinos scincl: 12/2015, n=2,732, 0.1s
Vecinos scincl: 12/2020, n=3,380, 0.3s
Vecinos scincl: 13/2000, n=2,739, 0.2s
Vecinos scincl: 13/2005, n=4,071, 0.4s
Vecinos scincl: 13/2010, n=5,251, 0.5s
Vecinos scincl: 13/2015, n=5,596, 0.6s
Vecinos scincl: 13/2020, n=6,840, 0.9s
Vecinos scincl: 14/2000, n=2,166, 0.1s
Vecinos scincl: 14/2005, n=2,166, 0.1s
Vecinos scincl: 14/2010, n=2,186, 0.1s
Vecinos scincl: 14/2015, n=2,660, 0.2s
Vecinos scincl: 14/2020, n=4,040, 0.4s
Vecinos scincl: 15/2000, n=2,166, 0.1s
Vecinos scincl: 15/2005, n=2,166, 0.1s
Vecinos scincl: 15/2010, n=2,166, 0.1s
Vecinos scincl: 15/2015, n=2,166, 0.1s
Vecinos scincl: 15/2020, n=2,166, 0.1s
Vecinos scincl: 16/2000, n=2,166, 0.1s
Vecinos scincl: 16/2005, n=2,166, 0.1s
Vecinos scincl: 16/2010, n=2,166, 0.1s
Vecinos scincl: 16/2015, n=2,166, 0.1s
Vecinos scincl: 16/2020, n=2,166, 0.1s
Vecinos scincl: 17/2000, n=3,310, 0.2s
Vecinos scincl: 17/2005, n=5,594, 0.7s
Vecinos scincl: 17/2010, n=7,094, 1.0s
Vecinos scincl: 17/2015, n=6,858, 1.0s
Vecinos scincl: 17/2020, n=9,972, 1.9s
Vecinos scincl: 18/2000, n=2,166, 0.1s
Vecinos scincl: 18/2005, n=2,166, 0.1s
Vecinos scincl: 18/2010, n=2,166, 0.1s
Vecinos scincl: 18/2015, n=2,166, 0.1s
Vecinos scincl: 18/2020, n=2,166, 0.1s
Vecinos scincl: 19/2000, n=2,166, 0.1s
Vecinos scincl: 19/2005, n=2,166, 0.1s
Vecinos scincl: 19/2010, n=2,166, 0.1s
Vecinos scincl: 19/2015, n=2,166, 0.1s
Vecinos scincl: 19/2020, n=2,166, 0.1s
Vecinos scincl: 20/2000, n=2,166, 0.1s
Vecinos scincl: 20/2005, n=2,166, 0.1s
Vecinos scincl: 20/2010, n=2,166, 0.1s
Vecinos scincl: 20/2015, n=2,166, 0.1s
Vecinos scincl: 20/2020, n=2,845, 0.2s
Vecinos scincl: 21/2000, n=2,166, 0.1s
Vecinos scincl: 21/2005, n=2,166, 0.1s
Vecinos scincl: 21/2010, n=2,166, 0.1s
Vecinos scincl: 21/2015, n=2,166, 0.1s
Vecinos scincl: 21/2020, n=2,166, 0.1s
Vecinos scincl: 22/2000, n=6,990, 0.8s
Vecinos scincl: 22/2005, n=11,310, 2.3s
Vecinos scincl: 22/2010, n=15,203, 4.2s
Vecinos scincl: 22/2015, n=14,738, 4.0s
Vecinos scincl: 22/2020, n=18,907, 6.8s
Vecinos scincl: 23/2000, n=2,166, 0.1s
Vecinos scincl: 23/2005, n=2,876, 0.2s
Vecinos scincl: 23/2010, n=4,005, 0.4s
Vecinos scincl: 23/2015, n=4,018, 0.4s
Vecinos scincl: 23/2020, n=5,919, 0.6s
Vecinos scincl: 24/2000, n=2,166, 0.1s
Vecinos scincl: 24/2005, n=2,166, 0.1s
Vecinos scincl: 24/2010, n=2,166, 0.1s
Vecinos scincl: 24/2015, n=2,166, 0.1s
Vecinos scincl: 24/2020, n=2,166, 0.1s
Vecinos scincl: 25/2000, n=2,166, 0.1s
Vecinos scincl: 25/2005, n=2,166, 0.1s
Vecinos scincl: 25/2010, n=2,962, 0.2s
Vecinos scincl: 25/2015, n=3,152, 0.2s
Vecinos scincl: 25/2020, n=3,787, 0.3s
Vecinos scincl: 26/2000, n=2,166, 0.1s
Vecinos scincl: 26/2005, n=2,166, 0.1s
Vecinos scincl: 26/2010, n=2,166, 0.1s
Vecinos scincl: 26/2015, n=2,166, 0.1s
Vecinos scincl: 26/2020, n=2,166, 0.1s
Vecinos scincl: 27/2000, n=7,128, 1.0s
Vecinos scincl: 27/2005, n=10,946, 2.3s
Vecinos scincl: 27/2010, n=15,771, 4.1s
Vecinos scincl: 27/2015, n=18,629, 5.9s
Vecinos scincl: 27/2020, n=26,195, 11.6s
Vecinos scincl: 28/2000, n=2,166, 0.1s
Vecinos scincl: 28/2005, n=2,166, 0.1s
Vecinos scincl: 28/2010, n=2,166, 0.1s
Vecinos scincl: 28/2015, n=2,166, 0.1s
Vecinos scincl: 28/2020, n=2,166, 0.1s
Vecinos scincl: 29/2000, n=2,166, 0.1s
Vecinos scincl: 29/2005, n=2,166, 0.1s
Vecinos scincl: 29/2010, n=2,166, 0.1s
Vecinos scincl: 29/2015, n=2,166, 0.1s
Vecinos scincl: 29/2020, n=2,166, 0.1s
Vecinos scincl: 30/2000, n=2,166, 0.1s
Vecinos scincl: 30/2005, n=2,166, 0.1s
Vecinos scincl: 30/2010, n=2,166, 0.1s
Vecinos scincl: 30/2015, n=2,166, 0.1s
Vecinos scincl: 30/2020, n=2,166, 0.1s
Vecinos scincl: 31/2000, n=2,166, 0.1s
Vecinos scincl: 31/2005, n=2,704, 0.2s
Vecinos scincl: 31/2010, n=3,094, 0.2s
Vecinos scincl: 31/2015, n=3,388, 0.2s
Vecinos scincl: 31/2020, n=3,470, 0.3s
Vecinos scincl: 32/2000, n=2,166, 0.1s
Vecinos scincl: 32/2005, n=2,166, 0.1s
Vecinos scincl: 32/2010, n=2,166, 0.1s
Vecinos scincl: 32/2015, n=2,577, 0.1s
Vecinos scincl: 32/2020, n=3,970, 0.4s
Vecinos scincl: 33/2000, n=2,776, 0.2s
Vecinos scincl: 33/2005, n=4,893, 0.5s
Vecinos scincl: 33/2010, n=7,110, 1.0s
Vecinos scincl: 33/2015, n=8,891, 1.6s
Vecinos scincl: 33/2020, n=13,879, 3.5s
Vecinos scincl: 34/2000, n=2,166, 0.1s
Vecinos scincl: 34/2005, n=2,166, 0.1s
Vecinos scincl: 34/2010, n=2,165, 0.1s
Vecinos scincl: 34/2015, n=2,165, 0.1s
Vecinos scincl: 34/2020, n=2,165, 0.1s
Vecinos scincl: 35/2000, n=2,165, 0.1s
Vecinos scincl: 35/2005, n=2,165, 0.1s
Vecinos scincl: 35/2010, n=2,165, 0.1s
Vecinos scincl: 35/2015, n=2,165, 0.1s
Vecinos scincl: 35/2020, n=2,165, 0.1s
Vecinos scincl: 36/2000, n=2,165, 0.1s
Vecinos scincl: 36/2005, n=2,165, 0.1s
Vecinos scincl: 36/2010, n=2,165, 0.1s
Vecinos scincl: 36/2015, n=2,165, 0.1s
Vecinos scincl: 36/2020, n=2,833, 0.2s
Vecinos scibert: 11/2000, n=2,166, 0.1s
Vecinos scibert: 11/2005, n=2,528, 0.2s
Vecinos scibert: 11/2010, n=3,940, 0.4s
Vecinos scibert: 11/2015, n=4,298, 0.4s
Vecinos scibert: 11/2020, n=6,491, 0.9s
Vecinos scibert: 12/2000, n=2,166, 0.1s
Vecinos scibert: 12/2005, n=2,166, 0.1s
Vecinos scibert: 12/2010, n=2,186, 0.1s
Vecinos scibert: 12/2015, n=2,732, 0.2s
Vecinos scibert: 12/2020, n=3,380, 0.3s
Vecinos scibert: 13/2000, n=2,739, 0.2s
Vecinos scibert: 13/2005, n=4,071, 0.3s
Vecinos scibert: 13/2010, n=5,251, 0.4s
Vecinos scibert: 13/2015, n=5,596, 0.5s
Vecinos scibert: 13/2020, n=6,840, 1.1s
Vecinos scibert: 14/2000, n=2,166, 0.1s
Vecinos scibert: 14/2005, n=2,166, 0.1s
Vecinos scibert: 14/2010, n=2,186, 0.1s
Vecinos scibert: 14/2015, n=2,660, 0.2s
Vecinos scibert: 14/2020, n=4,040, 0.4s
Vecinos scibert: 15/2000, n=2,166, 0.1s
Vecinos scibert: 15/2005, n=2,166, 0.1s
Vecinos scibert: 15/2010, n=2,166, 0.1s
Vecinos scibert: 15/2015, n=2,166, 0.1s
Vecinos scibert: 15/2020, n=2,166, 0.1s
Vecinos scibert: 16/2000, n=2,166, 0.1s
Vecinos scibert: 16/2005, n=2,166, 0.1s
Vecinos scibert: 16/2010, n=2,166, 0.1s
Vecinos scibert: 16/2015, n=2,166, 0.1s
Vecinos scibert: 16/2020, n=2,166, 0.1s
Vecinos scibert: 17/2000, n=3,310, 0.3s
Vecinos scibert: 17/2005, n=5,594, 0.7s
Vecinos scibert: 17/2010, n=7,094, 1.1s
Vecinos scibert: 17/2015, n=6,858, 1.0s
Vecinos scibert: 17/2020, n=9,972, 1.6s
Vecinos scibert: 18/2000, n=2,166, 0.1s
Vecinos scibert: 18/2005, n=2,166, 0.1s
Vecinos scibert: 18/2010, n=2,166, 0.1s
Vecinos scibert: 18/2015, n=2,166, 0.1s
Vecinos scibert: 18/2020, n=2,166, 0.1s
Vecinos scibert: 19/2000, n=2,166, 0.1s
Vecinos scibert: 19/2005, n=2,166, 0.1s
Vecinos scibert: 19/2010, n=2,166, 0.1s
Vecinos scibert: 19/2015, n=2,166, 0.1s
Vecinos scibert: 19/2020, n=2,166, 0.1s
Vecinos scibert: 20/2000, n=2,166, 0.1s
Vecinos scibert: 20/2005, n=2,166, 0.1s
Vecinos scibert: 20/2010, n=2,166, 0.1s
Vecinos scibert: 20/2015, n=2,166, 0.1s
Vecinos scibert: 20/2020, n=2,845, 0.2s
Vecinos scibert: 21/2000, n=2,166, 0.1s
Vecinos scibert: 21/2005, n=2,166, 0.1s
Vecinos scibert: 21/2010, n=2,166, 0.1s
Vecinos scibert: 21/2015, n=2,166, 0.1s
Vecinos scibert: 21/2020, n=2,166, 0.1s
Vecinos scibert: 22/2000, n=6,990, 0.9s
Vecinos scibert: 22/2005, n=11,310, 3.1s
Vecinos scibert: 22/2010, n=15,203, 3.4s
Vecinos scibert: 22/2015, n=14,738, 4.2s
Vecinos scibert: 22/2020, n=18,907, 6.0s
Vecinos scibert: 23/2000, n=2,166, 0.1s
Vecinos scibert: 23/2005, n=2,876, 0.2s
Vecinos scibert: 23/2010, n=4,005, 0.4s
Vecinos scibert: 23/2015, n=4,018, 0.3s
Vecinos scibert: 23/2020, n=5,919, 0.7s
Vecinos scibert: 24/2000, n=2,166, 0.1s
Vecinos scibert: 24/2005, n=2,166, 0.1s
Vecinos scibert: 24/2010, n=2,166, 0.1s
Vecinos scibert: 24/2015, n=2,166, 0.1s
Vecinos scibert: 24/2020, n=2,166, 0.1s
Vecinos scibert: 25/2000, n=2,166, 0.1s
Vecinos scibert: 25/2005, n=2,166, 0.1s
Vecinos scibert: 25/2010, n=2,962, 0.2s
Vecinos scibert: 25/2015, n=3,152, 0.2s
Vecinos scibert: 25/2020, n=3,787, 0.3s
Vecinos scibert: 26/2000, n=2,166, 0.1s
Vecinos scibert: 26/2005, n=2,166, 0.1s
Vecinos scibert: 26/2010, n=2,166, 0.1s
Vecinos scibert: 26/2015, n=2,166, 0.1s
