angle_p10,angle_p50,angle_p90,center_angle_p50,connect_r100,connect_r50,connect_r90,connect_r95,connect_r99,connect_ratio90_50,connect_ratio95_50,d80,dimension,erank,field_id,gap_10,gap_25,gap_50,gap_residual_10,gap_residual_25,gap_residual_50,hub_gini25,kind,knn25_median_chord,mean_cosine_distance,model,mst_max_median,mutual_components_10,mutual_components_25,mutual_components_50,mutual_giant_10,mutual_giant_25,mutual_giant_50,n,pair_chord_p10,pair_chord_p50,pair_chord_p90,pc1_share,period,pr,repeat,selection_sha256,union_components_10,union_components_25,union_components_50,union_giant_10,union_giant_25,union_giant_50,variance_trace,weighted_gap_25,weighted_gap_residual_25,zero_distance_pairs,field_name
44.62931958562646,55.8371385877325,63.13348569594975,40.38453868722973,0.9046748893407371,0.5531881454013131,0.6827940433352965,0.7166607356313583,0.801944524663645,1.2342890009690286,1.2955099301910262,54,768,74.03995685719273,11,0.042936038020441034,0.0653796764992972,0.0905771869106485,7.638042870632526e-16,6.274756070631431e-16,7.938662006474598e-16,0.36140967999999996,primary,0.6390329837217883,0.4274627252011181,specter,1.6674513914519375,113,10,2,0.932,0.9955,0.9995,2000,0.7593857455861267,0.9364324279661884,1.0469828711037943,0.10221791067947172,0,28.299323796372146,0,ae0850c0ff80a4a8abb41b65c1aad094f07734e2a3ce68b70f69752d65e68f9c,1,1,1,1.0,1.0,1.0,0.4274627252011181,0.061417948721694676,7.096598569137179e-16,0,Agricultural and Biological Sciences
36.85812555381371,48.00834112588872,58.779534890809536,33.655348901803286,1.0681061758704102,0.5944873759950864,0.7484282070201541,0.8218395515313137,0.9510981392485043,1.2589471824652172,1.3824339838262714,58,768,80.58526690162388,12,0.05646029854381064,0.08497919779477485,0.11556632841878173,8.143854907883278e-16,7.253968191789437e-16,1.1030867587339512e-15,0.47519816000000015,primary,0.5774144972766362,0.33632042422893543,specter,1.8143096466405146,258,47,9,0.8375,0.975,0.996,2000,0.6322606105510862,0.8136062780447207,0.9814963083438779,0.10448767700045535,0,31.316769132899548,0,3f7972578cc611fd9a0645fb642e1745a1e4aeacff4286c08357923292e3f5bd,1,1,1,1.0,1.0,1.0,0.3363204242289355,0.07850787889142566,5.922122349884195e-16,0,Arts and Humanities
49.2425427914947,57.519149156921124,63.93940467717614,41.99822358203944,0.8419325989967749,0.6186304820756422,0.6975785578519479,0.7250869266798209,0.7654857739274917,1.1276175003718172,1.1720840593677082,66,768,104.1160068353991,13,0.045586912545285886,0.07333636477862006,0.1036282943801663,1.1313241797397602e-15,8.531221470613864e-16,7.29360327904973e-16,0.31908148000000014,primary,0.7235575209008738,0.45765801239086606,specter,1.3972177098410468,41,1,1,0.9775,1.0,1.0,2000,0.8332366456548481,0.9622705403724752,1.0589414949300557,0.06742435037944212,0,48.83738216112827,0,431e5abf705f8425edde0d879cf5fb4540ec4806964afe79c246fe962cb8d442,1,1,1,1.0,1.0,1.0,0.4576580123908661,0.06811098348627664,5.917843026398474e-16,0,"Biochemistry, Genetics and Molecular Biology"
43.59616542832756,52.77444888558338,60.600444616252425,38.392851187603945,0.9988139625666449,0.6108560184921633,0.7065104695536385,0.7459707372001397,0.8305473526600685,1.1565908301887384,1.2211891421508683,52,768,77.21901705673342,14,0.046974864469782544,0.09517144207538626,0.12338122089929922,8.58867596376662e-16,7.777418304920515e-16,8.051290924948395e-16,0.39965622,primary,0.6480172898892815,0.3935706292377437,specter,1.6771515802278583,140,22,8,0.9175,0.9885,0.9965,2000,0.7426735309340237,0.888870892645169,1.0090619475870362,0.0959222313600272,0,33.06452406344721,0,f732df6b8ba0842d22628a59342f5d1092713f2f7cbde117ce9917cc483368b8,1,1,1,1.0,1.0,1.0,0.39357062923774366,0.08950965651269761,6.10804258924636e-16,0,"Business, Management and Accounting"
41.74569530693315,52.879628245923264,60.35558628472942,37.95811223430889,0.996883785981999,0.5754255911993532,0.6720936504778549,0.7031481370835246,0.7670761920276756,1.167994021741399,1.2219618797592244,52,768,65.74934231757004,15,0.016515101060845954,0.024783078168322405,0.0365104670641615,9.878982093492533e-16,7.624407625800717e-16,9.179528881548543e-16,0.4265351800000001,primary,0.607334269014064,0.38776351890924643,specter,1.7987880982639213,179,34,12,0.8935,0.9835,0.9945,2000,0.7125904835790456,0.8905149814426216,1.005369861648628,0.16056741239988886,0,21.099941532154343,0,e12c9f6c22f42a28d50c5cb58abe650d2a50a5590f66b30c5a5ac5589645790a,1,1,1,1.0,1.0,1.0,0.38776351890924643,0.02297294681816172,7.963726501798692e-16,0,Chemical Engineering
40.71943418968358,52.5456711635324,60.57404544755199,37.10746817659687,0.9267803598259331,0.6021499158034523,0.7085249529913817,0.7601746319555837,0.8280330795888075,1.1766587263339439,1.2624341746212453,59,768,78.833031826987,16,0.035909779392665646,0.05513034215840543,0.07654527891223259,7.47709012934743e-16,7.072346780999049e-16,8.127314411377832e-16,0.4009946,primary,0.6318095340340263,0.3835119169486477,specter,1.6015980767073748,171,23,2,0.898,0.9885,0.9995,2000,0.6958259740151482,0.8852922183462315,1.0086641101315983,0.14939181578923896,0,26.21496317533211,0,9884addd1e84a561abd8aaeeae01f721d28d94cee2b5111d156df18d57e47b47,1,1,1,1.0,1.0,1.0,0.3835119169486478,0.05127995495892456,6.621659565474118e-16,0,Chemistry
48.24634717205867,56.18600389420404,62.80726162222588,41.279270313711436,0.9291032966451022,0.6305857879577189,0.7117832212933128,0.7341900558931946,0.7781071420417399,1.1287650861884604,1.164298450605776,61,768,96.93046674728504,17,0.04777006831308888,0.0716574741356693,0.0980821688786486,8.407150307553439e-16,6.346378151092644e-16,7.852856000824833e-16,0.37295540000000016,primary,0.7168185160583286,0.4405171815011604,specter,1.4949257535952625,68,5,1,0.9595,0.998,1.0,2000,0.8173992553264674,0.9418082711128077,1.04212743994847,0.07096442014896255,0,46.58824007449815,0,ca079293d1684a0a9685ce26da87f5831b4f43f4d8dac738b3c3fbc95a7515d6,1,1,1,1.0,1.0,1.0,0.4405171815011604,0.0685847566280664,6.137568408332219e-16,0,Computer Science
44.6539463566288,52.84889869809331,59.8354211899749,38.61914083451112,0.9504487442213728,0.6145579633569592,0.7125354444153249,0.7407500180700057,0.7943036802916856,1.1594275672927152,1.205337921298319,57,768,89.05483203210122,18,0.05312967549430822,0.0850027972616618,0.12145372831367175,7.628347365704379e-16,7.37106888991071e-16,8.418605277662059e-16,0.41548589999999996,primary,0.6616236488976484,0.3942709073806769,specter,1.5785544429376357,170,32,8,0.9015,0.984,0.9965,2000,0.7597833583143211,0.890034716566519,0.997511361648343,0.08016004537868132,0,41.11987928924568,0,79227adadc254e567d085d66ef4bb5971cc6787b41a4a178135c397eac53bb30,1,1,1,1.0,1.0,1.0,0.3942709073806768,0.08001239249950305,7.029320281330594e-16,1,Decision Sciences
40.73461677078986,51.83272783277276,60.21190848236222,37.029895768984616,0.9680951685063408,0.5526379293890278,0.6807999262735343,0.7191119483774654,0.7868037066859197,1.2319095199024734,1.301235239449605,50,768,64.88383582809955,19,0.030918096464317698,0.049879393723225376,0.07289151563003875,8.407194146333686e-16,6.488236872635938e-16,7.954075716743945e-16,0.3845117,primary,0.5864201368672971,0.37712361199949207,specter,1.7876035853806767,147,23,6,0.9115,0.989,0.997,2000,0.696074399418526,0.8741173760932391,1.0032012838996731,0.1240326949393211,0,23.93964593540556,0,7bbc33840a62ed73df8b6e5d416083eae95728f604a01a0fe34c272752f844f9,1,1,1,1.0,1.0,1.0,0.37712361199949207,0.046997412809359394,6.268276485863718e-16,0,Earth and Planetary Sciences
42.23069756277684,52.33243848187477,60.87632175964246,37.627856791771364,0.9985787437225414,0.5794327799258644,0.6869650526382148,0.7323005716588142,0.790443420253341,1.185581962977843,1.263823168155085,50,768,72.29725995141219,20,0.027655648610829378,0.07593963316901756,0.10797150204523064,8.984884458308573e-16,7.285015691315367e-16,7.842891863498082e-16,0.3887555600000001,primary,0.623406147489959,0.38771515961132463,specter,1.7599536056746705,117,15,3,0.934,0.993,0.999,2000,0.7204934422201722,0.8819535311782564,1.013216228811257,0.10829250468819657,0,28.94583805921996,0,1c5703642c796579270f8088a17f1d414921be548149a81e0d1c670ebc8f1151,1,1,1,1.0,1.0,1.0,0.3877151596113246,0.0717333126825076,8.089480541360141e-16,0,"Economics, Econometrics and Finance"
