model,field_id,repeat,angle_p50_observed,pr_observed,gap_25_observed,connect_ratio90_50_observed,angle_p50_gaussian,pr_gaussian,gap_25_gaussian,connect_ratio90_50_gaussian,gap_excess_observed_minus_reference,spread_reference_relative_error,pr_reference_relative_error
specter,11,0,55.61338432088777,27.62482839490067,0.0896766748364008,1.2314874589506506,53.66420729610089,28.02968356925575,0.18902245574527365,1.0583858362940304,-0.09934578090887286,-0.03504870362753287,0.014655481965991424
specter,11,1,55.61338432088777,27.62482839490067,0.0896766748364008,1.2314874589506506,53.760968722472185,29.222893508545106,0.20370530527554012,1.0513166754221934,-0.11402863043913933,-0.033308809040053955,0.05784887025540497
specter,11,2,55.61338432088777,27.62482839490067,0.0896766748364008,1.2314874589506506,53.83090588009405,28.704679432625664,0.1984796631589714,1.0511177294119822,-0.1088029883225706,-0.0320512492192323,0.03908987314919665
specter,12,0,47.82241075998776,30.755813615789016,0.116160909116567,1.2632837114380022,47.41647305076714,32.51370779080155,0.20632878335895435,1.0794364553900482,-0.09016787424238736,-0.008488440937408082,0.05715648420076547
specter,12,1,47.82241075998776,30.755813615789016,0.116160909116567,1.2632837114380022,47.22483321282824,32.00633631305368,0.21110881027040254,1.0893889407227664,-0.09494790115383554,-0.012495763757261469,0.04065971763539
specter,12,2,47.82241075998776,30.755813615789016,0.116160909116567,1.2632837114380022,47.14154937486008,33.854150558015135,0.21152545039531248,1.0847807476235762,-0.09536454127874548,-0.01423728696039206,0.10073987900081227
specter,13,0,57.62239005672362,47.779854280392634,0.09904133006497616,1.1183614234168564,56.42646614972411,48.709088541365624,0.27232096993748933,1.048365990794179,-0.17327963987251316,-0.02075450021809644,0.019448243929750086
specter,13,1,57.62239005672362,47.779854280392634,0.09904133006497616,1.1183614234168564,56.64427905577911,47.89634780069662,0.28169277529676984,1.0416595742655237,-0.18265144523179366,-0.016974495503946585,0.002438130506224434
specter,13,2,57.62239005672362,47.779854280392634,0.09904133006497616,1.1183614234168564,56.593568880352024,46.58379033523781,0.24782108684895504,1.0465207969832322,-0.14877975678397887,-0.0178545384070119,-0.025032808558515307
specter,14,0,52.90541471821988,32.91924458915311,0.12331670358881393,1.1422990225376541,51.827500381549015,34.05749636260123,0.21997286627973137,1.0557969070321236,-0.09665616269091744,-0.020374367017288453,0.034577092750881944
specter,14,1,52.90541471821988,32.91924458915311,0.12331670358881393,1.1422990225376541,52.07193334972411,32.69828820450706,0.20618815977235708,1.0556728178384256,-0.08287145618354315,-0.01575417890465436,-0.006712073360239157
specter,14,2,52.90541471821988,32.91924458915311,0.12331670358881393,1.1422990225376541,52.07490043637605,33.994782163109065,0.22770914490451846,1.059441968760948,-0.10439244131570453,-0.015698096050607346,0.03267200044773633
specter,15,0,52.94825036209379,21.19435826773616,0.035923583640845545,1.1662275429692388,50.75021175226084,22.87133917539571,0.1299261974127294,1.0517439688419898,-0.09400261377188385,-0.04151296019795492,0.07912392941910373
specter,15,1,52.94825036209379,21.19435826773616,0.035923583640845545,1.1662275429692388,50.954142951905276,22.065672555617827,0.2011990718873767,1.053959570723711,-0.16527548824653115,-0.03766144105898761,0.04111067090943976
specter,15,2,52.94825036209379,21.19435826773616,0.035923583640845545,1.1662275429692388,50.61677680295783,23.710358258107025,0.13280855593897462,1.0549066807905354,-0.09688497229812906,-0.04403306139847607,0.11871083609079736
specter,16,0,52.9277857252365,26.068674563297108,0.07243133880499159,1.14937867538721,51.182572804010356,26.02834764767856,0.13214295905003956,1.0613148537953785,-0.059711620245047975,-0.032973473144825016,-0.0015469492137250018
specter,16,1,52.9277857252365,26.068674563297108,0.07243133880499159,1.14937867538721,51.05146836191504,29.252453801439298,0.15218857824183324,1.0563515577078715,-0.07975723943684165,-0.035450516918693054,0.12213046084915757
specter,16,2,52.9277857252365,26.068674563297108,0.07243133880499159,1.14937867538721,51.26186427591152,26.576557090401067,0.13244543756080865,1.0609718410218834,-0.060014098755817064,-0.031475366416673034,0.01948248369401262
specter,17,0,56.26985854307482,45.35540901038806,0.09143871659918425,1.098831277767214,55.631939422468584,43.37118755965917,0.24730872955849625,1.0520303306707461,-0.15587001295931202,-0.011336782020127223,-0.04374828700749733
specter,17,1,56.26985854307482,45.35540901038806,0.09143871659918425,1.098831277767214,55.499427292763464,44.22873464738414,0.25552314282017263,1.0464296897602263,-0.1640844262209884,-0.013691721825132785,-0.024841014282240725
specter,17,2,56.26985854307482,45.35540901038806,0.09143871659918425,1.098831277767214,55.542347282485274,44.060190362286804,0.24368751596259244,1.0462791701838416,-0.15224879936340818,-0.012928969068451313,-0.028557093329366734
specter,18,0,53.07461528095544,40.28987458290273,0.11720519822636472,1.1375134877932012,52.300288254791965,39.90796780022941,0.24600334523795517,1.0496037370515283,-0.12879814701159045,-0.01458940440857659,-0.009478976706355668
specter,18,1,53.07461528095544,40.28987458290273,0.11720519822636472,1.1375134877932012,52.30536475778579,40.34829526675521,0.23234881811383343,1.0555681801318695,-0.11514361988746871,-0.01449375599045899,0.0014500090769025142
specter,18,2,53.07461528095544,40.28987458290273,0.11720519822636472,1.1375134877932012,52.18690956635737,40.18959684406595,0.2389581932784552,1.0488244129523567,-0.12175299505209047,-0.016725617508462687,-0.002488906701122673
specter,19,0,51.47016779235925,23.730793214348665,0.07235162889298037,1.2522836496264191,50.11639186353522,24.2650776302375,0.16608371918777662,1.0679476539023771,-0.09373209029479625,-0.026302147183304814,0.022514393474457606
specter,19,1,51.47016779235925,23.730793214348665,0.07235162889298037,1.2522836496264191,50.084836063456166,24.508088898480683,0.17185069884436255,1.0693746758931555,-0.09949906995138218,-0.02691523630720971,0.03275472830221404
specter,19,2,51.47016779235925,23.730793214348665,0.07235162889298037,1.2522836496264191,49.93716486057053,24.93534411807102,0.17614698916036148,1.068818711617991,-0.1037953602673811,-0.029784300256668117,0.05075898192033579
specter,20,0,52.2561168083082,28.537599560143857,0.10940532574773774,1.171764899938207,51.579217601935866,29.271176376880305,0.2002017179691602,1.064272847785527,-0.09079639222142245,-0.012953492293646951,0.025705624440850894
specter,20,1,52.2561168083082,28.537599560143857,0.10940532574773774,1.171764899938207,51.268193764091585,29.48398845797278,0.20362834840997532,1.0636515107528066,-0.09422302266223757,-0.018905404851275565,0.03316287678066199
specter,20,2,52.2561168083082,28.537599560143857,0.10940532574773774,1.171764899938207,51.205805444075295,29.24050783862877,0.19128678940716742,1.0677259317581422,-0.08188146365942968,-0.02009929991709436,0.024630953174723524
specter,21,0,54.22563855545119,20.220935801897145,0.07133799815237236,1.229093353753559,51.68083043717656,23.765745846963164,0.12231827444177942,1.0599474825625683,-0.05098027628940706,-0.04692997973038726,0.17530395624585493
specter,21,1,54.22563855545119,20.220935801897145,0.07133799815237236,1.229093353753559,51.69172017766938,21.099971983849542,0.10626585843523532,1.0649549396432783,-0.03492786028286296,-0.04672915700551172,0.04347158759437453
specter,21,2,54.22563855545119,20.220935801897145,0.07133799815237236,1.229093353753559,51.72072453130695,22.310110109680252,0.1162300893039339,1.0652892626230228,-0.044892091151561536,-0.04619427434833645,0.10331738987011163
specter,22,0,56.81156795515334,42.612618340842445,0.11401248220654311,1.1151367288869927,55.84072968785991,42.16689640257746,0.22616705278063715,1.0492928461993618,-0.11215457057409403,-0.017088742702187076,-0.01045985803312588
specter,22,1,56.81156795515334,42.612618340842445,0.11401248220654311,1.1151367288869927,55.875243907588825,41.966728402013906,0.24305138118482061,1.0410440845269207,-0.1290388989782775,-0.016481221717091987,-0.015157245998410729
specter,22,2,56.81156795515334,42.612618340842445,0.11401248220654311,1.1151367288869927,56.024086398652706,41.46822944579704,0.23535223185135165,1.0436686647939284,-0.12133974964480854,-0.013861288903736502,-0.026855634307468845
specter,23,0,54.58938109683157,29.742575168351774,0.09013751516873278,1.250335719381461,53.097061416807065,31.434091222702172,0.21606704428887258,1.0609172406574483,-0.1259295291201398,-0.02733717895385923,0.05687187625065815
specter,23,1,54.58938109683157,29.742575168351774,0.09013751516873278,1.250335719381461,52.84462733803728,31.133383464372645,0.20615629255536633,1.0629157761240544,-0.11601877738663355,-0.03196141307591349,0.04676152915974785
specter,23,2,54.58938109683157,29.742575168351774,0.09013751516873278,1.250335719381461,53.18122678786666,30.673140797057517,0.20124212781223577,1.065623462647921,-0.11110461264350299,-0.025795388785725626,0.031287325439659064
specter,24,0,55.70607930927432,32.68465403709944,0.0889634662645408,1.1314009396529747,54.36659173973084,33.4786400078429,0.17274520982023775,1.0527313728565828,-0.08378174355569695,-0.02404562636883467,0.024292316811499015
specter,24,1,55.70607930927432,32.68465403709944,0.0889634662645408,1.1314009396529747,54.63798802663187,32.76025610687671,0.17649288086749862,1.0484179506011422,-0.08752941460295782,-0.019173693354230248,0.002313075417333499
specter,24,2,55.70607930927432,32.68465403709944,0.0889634662645408,1.1314009396529747,54.386861504333886,35.079712956312456,0.2058199346056401,1.0523942963608208,-0.1168564683410993,-0.023681756485073646,0.07327778095782955
specter,25,0,50.98314244345868,34.825988765376394,0.11842168619284327,1.179115830814726,50.18235513610318,33.923304893413274,0.19778009488239343,1.056324153083023,-0.07935840868955016,-0.0157069036739661,-0.025919834697143096
specter,25,1,50.98314244345868,34.825988765376394,0.11842168619284327,1.179115830814726,49.923108910737874,35.95939200498863,0.22336559780299492,1.0544332737856728,-0.10494391161015165,-0.020791843772604013,0.03254475406995638
specter,25,2,50.98314244345868,34.825988765376394,0.11842168619284327,1.179115830814726,49.94901456489562,36.29467720340493,0.22832582242799881,1.058606020199194,-0.10990413623515555,-0.020283721814714162,0.04217219639973835
specter,26,0,49.14053957684378,29.605914983431084,0.07429971110807909,1.2155165739597813,48.1225034891028,30.97160672087078,0.15540732828128034,1.0652235533868173,-0.08110761717320125,-0.020716827623535217,0.046129016387570054
specter,26,1,49.14053957684378,29.605914983431084,0.07429971110807909,1.2155165739597813,48.40001886960157,30.447872416530295,0.1593677373123983,1.0706388744989261,-0.08506802620431922,-0.015069445993449393,0.028438824929761797
specter,26,2,49.14053957684378,29.605914983431084,0.07429971110807909,1.2155165739597813,48.23359380402303,31.40479199809116,0.16484828739652288,1.0682354349080938,-0.09054857628844379,-0.01845616227722746,0.06076073026848916
specter,27,0,59.24650889659931,44.3666174415304,0.15425115641828802,1.0984572222722602,58.154067697738974,44.97156768588127,0.260479047140602,1.0455430193416795,-0.10622789072231398,-0.01843891259089936,0.013635257300111281
