metric,model,field_id,first,last,change,half_sample_median_change,half_q05,half_q95,same_sign_repeats
angle_p50,specter,11,55.513304174104945,55.09162688424716,-0.42167728985778297,-0.23036598430696742,-0.8501108284486779,0.031850033563208716,8
angle_p50,specter,12,47.369957125129496,48.869980855004805,1.5000237298753092,1.7176595344549455,0.3473093560475082,2.3686338681503583,10
angle_p50,specter,13,57.281862342089944,56.49623342042619,-0.7856289216637578,-0.4779734531203772,-1.4636610989811871,0.0010313761552623868,9
angle_p50,specter,14,52.27327689288307,52.11302098397049,-0.1602559089125748,-0.16246274681816075,-0.9245832420656217,0.4559744426503851,6
angle_p50,specter,15,52.813773783488635,51.70572810538937,-1.1080456780992662,-1.0029471218788295,-1.524547598958517,-0.4587311593804144,10
angle_p50,specter,16,52.33505440499475,51.84641640635227,-0.48863799864248136,-0.44848639957544023,-0.862231098102427,0.5771723929763376,8
angle_p50,specter,17,54.42004170521734,57.01331355758107,2.5932718523637277,2.5634907011726895,2.0034702414579835,3.4745907362134183,10
angle_p50,specter,18,51.90299298417296,53.258384317873634,1.3553913337006733,1.3497808407878757,0.8475420755798286,2.052323412289886,10
angle_p50,specter,19,52.16180700282303,51.395016227854406,-0.7667907749686265,-0.7398702679918472,-1.376913938273691,-0.016816569833484785,9
angle_p50,specter,20,51.03617088151785,52.444818037360534,1.4086471558426865,1.4168228758059236,0.8671177275163433,1.8654596360647169,10
angle_p50,specter,21,54.97260488968557,52.00691959332632,-2.965685296359247,-3.0277477319578416,-3.9218194174289343,-2.788006018039711,10
angle_p50,specter,22,56.41632649441052,56.44638472159995,0.03005822718942852,-0.010467711606359842,-0.3569269003806081,0.3354932034605592,5
angle_p50,specter,23,54.45398435295917,53.3310081293023,-1.1229762236568703,-1.0390901211856978,-1.8099738867283484,-0.24752620931671426,10
angle_p50,specter,24,54.7600316457365,55.28044307960063,0.5204114338641332,0.5310852370486892,0.137174502115284,1.3553169669551022,10
angle_p50,specter,25,51.20973169411461,50.546719744542266,-0.6630119495723434,-0.6243443808197036,-1.6054066938247424,-0.11720829877385383,10
angle_p50,specter,26,47.71325043731728,51.343273217381075,3.630022780063797,3.3889654316747446,2.3352359532627656,4.340850833184895,10
angle_p50,specter,27,59.398741855638995,58.14582319161708,-1.2529186640219123,-1.1437103378398739,-1.279365802485185,-0.7854006122977557,10
angle_p50,specter,28,54.46248842417297,54.29177471830897,-0.1707137058639958,-0.07450894755715964,-0.6535214394764182,0.2686874997353857,6
angle_p50,specter,29,57.47925811045392,56.0761043936414,-1.4031537168125183,-1.4559045042611913,-2.099260575963917,-0.9777032855350418,10
angle_p50,specter,30,56.55365038991888,55.64158361772655,-0.9120667721923255,-0.7462965500775027,-1.5173654809978419,0.14045627882153894,8
angle_p50,specter,31,52.01515828856506,53.01605729298192,1.0008990044168584,1.197982863964274,0.29687748120405966,1.5813986291220428,10
angle_p50,specter,32,52.76308207256516,51.71245167722505,-1.0506303953401144,-0.8188551526286325,-1.4227164628858582,-0.33823380009420545,10
angle_p50,specter,33,51.658000166593325,52.241902246864,0.5839020802706756,0.8734103532513906,0.09326791702027358,1.419300597224395,9
angle_p50,specter,34,54.72965322961363,54.84261896043265,0.1129657308190204,0.11078559149022382,-0.5089997304620073,0.41103217269655457,6
angle_p50,specter,35,47.53556629328834,46.5643442094664,-0.9712220838219423,-0.6111957976430382,-1.6737429685452678,0.22284088418224496,8
angle_p50,specter,36,52.76582399251082,54.11181522056538,1.3459912280545652,1.331376594017712,0.5130755944736333,1.632370215162404,10
angle_p50,specter2,11,36.68398975144117,34.02409070437466,-2.65989904706651,-2.6146549201670126,-3.003093797688487,-2.400214862495951,10
angle_p50,specter2,12,33.57450160197567,32.651781558820915,-0.9227200431547544,-0.8850387679232448,-1.2074831300830797,-0.4949242092845464,10
