panel,metric,model_a,model_b,field_rank_spearman
primary,gap_25,mpnet,biobert,0.6123076923076922
primary,gap_25,mpnet,simcse,0.7018803418803419
primary,gap_25,minilm,pubmedbert,0.5651282051282052
primary,gap_25,minilm,biobert,0.5952136752136752
primary,gap_25,minilm,simcse,0.7135042735042735
primary,gap_25,pubmedbert,biobert,0.8899145299145298
primary,gap_25,pubmedbert,simcse,0.647179487179487
primary,gap_25,biobert,simcse,0.5965811965811965
half,angle_p50,specter,specter2,0.3928205128205128
half,angle_p50,specter,scincl,0.4591452991452991
half,angle_p50,specter,scibert,0.3490598290598291
half,angle_p50,specter,bert,-0.2656410256410256
half,angle_p50,specter,mpnet,0.19589743589743588
half,angle_p50,specter,minilm,0.10495726495726496
half,angle_p50,specter,pubmedbert,0.17128205128205126
half,angle_p50,specter,biobert,-0.305982905982906
half,angle_p50,specter,simcse,-0.212991452991453
half,angle_p50,specter2,scincl,0.5076923076923077
half,angle_p50,specter2,scibert,0.19726495726495727
half,angle_p50,specter2,bert,0.02222222222222222
half,angle_p50,specter2,mpnet,0.6731623931623931
half,angle_p50,specter2,minilm,0.5370940170940172
half,angle_p50,specter2,pubmedbert,0.1699145299145299
half,angle_p50,specter2,biobert,-0.14256410256410257
half,angle_p50,specter2,simcse,-0.06666666666666665
half,angle_p50,scincl,scibert,0.3107692307692307
half,angle_p50,scincl,bert,0.19863247863247863
half,angle_p50,scincl,mpnet,0.775042735042735
half,angle_p50,scincl,minilm,0.7326495726495725
half,angle_p50,scincl,pubmedbert,0.22666666666666666
half,angle_p50,scincl,biobert,0.17743589743589744
half,angle_p50,scincl,simcse,0.3278632478632478
half,angle_p50,scibert,bert,0.3791452991452991
half,angle_p50,scibert,mpnet,0.30188034188034185
half,angle_p50,scibert,minilm,0.2451282051282051
half,angle_p50,scibert,pubmedbert,0.8728205128205128
half,angle_p50,scibert,biobert,0.5049572649572649
half,angle_p50,scibert,simcse,0.25196581196581197
half,angle_p50,bert,mpnet,0.41264957264957264
half,angle_p50,bert,minilm,0.4905982905982905
half,angle_p50,bert,pubmedbert,0.5432478632478631
half,angle_p50,bert,biobert,0.8242735042735042
half,angle_p50,bert,simcse,0.881025641025641
half,angle_p50,mpnet,minilm,0.9637606837606837
half,angle_p50,mpnet,pubmedbert,0.32512820512820506
half,angle_p50,mpnet,biobert,0.26837606837606837
half,angle_p50,mpnet,simcse,0.3538461538461538
half,angle_p50,minilm,pubmedbert,0.3333333333333333
half,angle_p50,minilm,biobert,0.3852991452991453
half,angle_p50,minilm,simcse,0.44957264957264953
half,angle_p50,pubmedbert,biobert,0.6964102564102563
half,angle_p50,pubmedbert,simcse,0.33196581196581193
half,angle_p50,biobert,simcse,0.7565811965811965
half,pr,specter,specter2,0.3928205128205128
half,pr,specter,scincl,0.8194871794871793
half,pr,specter,scibert,0.6635897435897435
half,pr,specter,bert,0.14598290598290597
half,pr,specter,mpnet,0.6512820512820512
half,pr,specter,minilm,0.6478632478632478
half,pr,specter,pubmedbert,0.5979487179487181
half,pr,specter,biobert,0.5418803418803418
half,pr,specter,simcse,0.28068376068376066
half,pr,specter2,scincl,0.5083760683760683
half,pr,specter2,scibert,0.416068376068376
half,pr,specter2,bert,0.5323076923076923
half,pr,specter2,mpnet,0.5651282051282052
half,pr,specter2,minilm,0.5972649572649572
half,pr,specter2,pubmedbert,0.34017094017094013
half,pr,specter2,biobert,0.4591452991452991
half,pr,specter2,simcse,0.5316239316239316
half,pr,scincl,scibert,0.6355555555555555
half,pr,scincl,bert,0.3094017094017094
half,pr,scincl,mpnet,0.718974358974359
half,pr,scincl,minilm,0.7032478632478633
half,pr,scincl,pubmedbert,0.5487179487179487
half,pr,scincl,biobert,0.5767521367521368
half,pr,scincl,simcse,0.40376068376068375
half,pr,scibert,bert,0.41880341880341876
half,pr,scibert,mpnet,0.643076923076923
half,pr,scibert,minilm,0.6321367521367521
half,pr,scibert,pubmedbert,0.777094017094017
half,pr,scibert,biobert,0.6054700854700855
half,pr,scibert,simcse,0.5535042735042734
half,pr,bert,mpnet,0.5945299145299144
half,pr,bert,minilm,0.6861538461538461
half,pr,bert,pubmedbert,0.07897435897435896
half,pr,bert,biobert,0.15487179487179487
half,pr,bert,simcse,0.9302564102564103
half,pr,mpnet,minilm,0.967179487179487
half,pr,mpnet,pubmedbert,0.27589743589743587
half,pr,mpnet,biobert,0.19316239316239317
half,pr,mpnet,simcse,0.7169230769230769
half,pr,minilm,pubmedbert,0.2711111111111111
half,pr,minilm,biobert,0.17675213675213672
half,pr,minilm,simcse,0.7777777777777777
half,pr,pubmedbert,biobert,0.7497435897435897
half,pr,pubmedbert,simcse,0.14256410256410257
half,pr,biobert,simcse,0.1835897435897436
half,gap_25,specter,specter2,0.8126495726495726
half,gap_25,specter,scincl,0.7976068376068376
half,gap_25,specter,scibert,0.5117948717948718
half,gap_25,specter,bert,0.6724786324786325
half,gap_25,specter,mpnet,0.8242735042735042
half,gap_25,specter,minilm,0.8037606837606838
half,gap_25,specter,pubmedbert,0.5056410256410256
half,gap_25,specter,biobert,0.5227350427350427
half,gap_25,specter,simcse,0.6827350427350427
half,gap_25,specter2,scincl,0.8673504273504273
half,gap_25,specter2,scibert,0.481025641025641
half,gap_25,specter2,bert,0.816068376068376
half,gap_25,specter2,mpnet,0.9644444444444444
half,gap_25,specter2,minilm,0.9111111111111111
half,gap_25,specter2,pubmedbert,0.6683760683760683
half,gap_25,specter2,biobert,0.6861538461538461
half,gap_25,specter2,simcse,0.7135042735042735
half,gap_25,scincl,scibert,0.3641025641025641
half,gap_25,scincl,bert,0.6615384615384615
half,gap_25,scincl,mpnet,0.9186324786324785
half,gap_25,scincl,minilm,0.874188034188034
half,gap_25,scincl,pubmedbert,0.5124786324786325
half,gap_25,scincl,biobert,0.5323076923076923
half,gap_25,scincl,simcse,0.5945299145299144
half,gap_25,scibert,bert,0.411965811965812
half,gap_25,scibert,mpnet,0.4058119658119658
half,gap_25,scibert,minilm,0.3586324786324786
half,gap_25,scibert,pubmedbert,0.738119658119658
half,gap_25,scibert,biobert,0.8037606837606838
half,gap_25,scibert,simcse,0.401025641025641
half,gap_25,bert,mpnet,0.7907692307692307
half,gap_25,bert,minilm,0.7736752136752136
half,gap_25,bert,pubmedbert,0.6868376068376068
half,gap_25,bert,biobert,0.6328205128205128
half,gap_25,bert,simcse,0.8536752136752135
half,gap_25,mpnet,minilm,0.9603418803418803
half,gap_25,mpnet,pubmedbert,0.5835897435897436
half,gap_25,mpnet,biobert,0.6123076923076922
half,gap_25,mpnet,simcse,0.7367521367521367
half,gap_25,minilm,pubmedbert,0.5494017094017093
half,gap_25,minilm,biobert,0.5596581196581196
half,gap_25,minilm,simcse,0.7894017094017093
half,gap_25,pubmedbert,biobert,0.9179487179487179
half,gap_25,pubmedbert,simcse,0.5938461538461539
half,gap_25,biobert,simcse,0.5876923076923077
title,angle_p50,specter,specter2,0.3757264957264957
title,angle_p50,specter,scincl,0.24307692307692305
title,angle_p50,specter,scibert,0.1275213675213675
title,angle_p50,specter,bert,-0.3374358974358974
title,angle_p50,specter,mpnet,0.22598290598290596
title,angle_p50,specter,minilm,0.2458119658119658
title,angle_p50,specter,pubmedbert,-0.10769230769230768
title,angle_p50,specter,biobert,-0.3005128205128205
title,angle_p50,specter,simcse,-0.21230769230769228
title,angle_p50,specter2,scincl,0.5206837606837607
title,angle_p50,specter2,scibert,0.4468376068376068
title,angle_p50,specter2,bert,0.0003418803418803419
title,angle_p50,specter2,mpnet,0.6512820512820512
title,angle_p50,specter2,minilm,0.6909401709401709
title,angle_p50,specter2,pubmedbert,0.2923076923076923
title,angle_p50,specter2,biobert,-0.094017094017094
title,angle_p50,specter2,simcse,-0.043418803418803414
title,angle_p50,scincl,scibert,0.7531623931623931
title,angle_p50,scincl,bert,0.372991452991453
title,angle_p50,scincl,mpnet,0.7476923076923077
title,angle_p50,scincl,minilm,0.7011965811965812
title,angle_p50,scincl,pubmedbert,0.4782905982905982
title,angle_p50,scincl,biobert,0.5186324786324785
title,angle_p50,scincl,simcse,0.3887179487179487
title,angle_p50,scibert,bert,0.12478632478632476
title,angle_p50,scibert,mpnet,0.7223931623931623
title,angle_p50,scibert,minilm,0.7299145299145299
title,angle_p50,scibert,pubmedbert,0.7504273504273503
title,angle_p50,scibert,biobert,0.4523076923076923
title,angle_p50,scibert,simcse,0.14735042735042733
title,angle_p50,bert,mpnet,0.37846153846153846
title,angle_p50,bert,minilm,0.2505982905982906
title,angle_p50,bert,pubmedbert,0.2717948717948718
title,angle_p50,bert,biobert,0.827008547008547
title,angle_p50,bert,simcse,0.87008547008547
title,angle_p50,mpnet,minilm,0.9480341880341879
title,angle_p50,mpnet,pubmedbert,0.5035897435897435
title,angle_p50,mpnet,biobert,0.39350427350427347
title,angle_p50,mpnet,simcse,0.39829059829059826
title,angle_p50,minilm,pubmedbert,0.5186324786324785
title,angle_p50,minilm,biobert,0.3107692307692307
title,angle_p50,minilm,simcse,0.26153846153846155
title,angle_p50,pubmedbert,biobert,0.5582905982905982
title,angle_p50,pubmedbert,simcse,0.38051282051282054
title,angle_p50,biobert,simcse,0.8112820512820512
title,pr,specter,specter2,0.3524786324786324
title,pr,specter,scincl,0.7723076923076921
title,pr,specter,scibert,0.7094017094017094
title,pr,specter,bert,0.2075213675213675
title,pr,specter,mpnet,0.6697435897435897
title,pr,specter,minilm,0.7114529914529912
title,pr,specter,pubmedbert,0.6376068376068377
title,pr,specter,biobert,0.6724786324786325
title,pr,specter,simcse,0.2909401709401709
title,pr,specter2,scincl,0.5753846153846154
title,pr,specter2,scibert,0.40649572649572646
title,pr,specter2,bert,0.3894017094017094
title,pr,specter2,mpnet,0.4317948717948718
title,pr,specter2,minilm,0.4502564102564102
title,pr,specter2,pubmedbert,0.3627350427350427
title,pr,specter2,biobert,0.3764102564102564
title,pr,specter2,simcse,0.32717948717948714
title,pr,scincl,scibert,0.669059829059829
title,pr,scincl,bert,0.3941880341880341
title,pr,scincl,mpnet,0.7319658119658119
