metric,model,field_id,condition,model_difference_mean9,input_difference,model_minus_input
angle_p50,specter,11,title,23.17213419558781,0.6071329747841574,22.56500122080365
angle_p50,specter,11,abstract,23.17213419558781,0.6065252378907218,22.565608957697087
angle_p50,specter,12,title,21.371777130904075,1.0678682177923093,20.303908913111766
angle_p50,specter,12,abstract,21.371777130904075,0.16071736740619258,21.211059763497882
angle_p50,specter,13,title,25.001610836333416,0.7240779652914355,24.27753287104198
angle_p50,specter,13,abstract,25.001610836333416,0.7923589529824824,24.209251883350934
angle_p50,specter,14,title,22.39057377093112,0.9732179616179408,21.41735580931318
angle_p50,specter,14,abstract,22.39057377093112,0.7106738329170028,21.679899938014117
angle_p50,specter,15,title,22.93831677557367,0.10222887647471168,22.83608789909896
angle_p50,specter,15,abstract,22.93831677557367,0.4664079590820407,22.47190881649163
angle_p50,specter,16,title,22.179818312497925,0.4800504813611255,21.6997678311368
angle_p50,specter,16,abstract,22.179818312497925,0.4900949080083592,21.689723404489566
angle_p50,specter,17,title,23.852108660335187,2.9127355641380035,20.939373096197183
angle_p50,specter,17,abstract,23.852108660335187,0.7269282988388426,23.125180361496344
angle_p50,specter,18,title,22.48193223350584,1.6081981658618645,20.873734067643976
angle_p50,specter,18,abstract,22.48193223350584,0.5746405286840144,21.907291704821827
angle_p50,specter,19,title,21.79622667301085,0.43856322322152863,21.35766344978932
angle_p50,specter,19,abstract,21.79622667301085,0.412826018992142,21.383400654018708
angle_p50,specter,20,title,22.474590899867493,1.1008296464232643,21.37376125344423
angle_p50,specter,20,abstract,22.474590899867493,0.527560503313012,21.94703039655448
angle_p50,specter,21,title,22.696463810607934,0.37952464464962077,22.316939165958313
angle_p50,specter,21,abstract,22.696463810607934,0.6086043496601974,22.087859460947737
angle_p50,specter,22,title,24.360675010842563,0.5956836301087236,23.76499138073384
angle_p50,specter,22,abstract,24.360675010842563,0.5726007662026262,23.788074244639937
angle_p50,specter,23,title,23.192055006689184,0.43929014915821796,22.752764857530966
angle_p50,specter,23,abstract,23.192055006689184,0.6095039332306342,22.58255107345855
angle_p50,specter,24,title,24.52996458631006,0.023602736339618957,24.506361849970443
angle_p50,specter,24,abstract,24.52996458631006,0.6052122513217313,23.92475233498833
angle_p50,specter,25,title,22.189486210771115,0.5876344183442654,21.60185179242685
angle_p50,specter,25,abstract,22.189486210771115,0.22143330610472844,21.968052904666386
angle_p50,specter,26,title,21.195339033922423,2.669932540111269,18.525406493811154
angle_p50,specter,26,abstract,21.195339033922423,0.32876310278652454,20.8665759311359
angle_p50,specter,27,title,26.209576206969388,0.6671100470180349,25.542466159951353
angle_p50,specter,27,abstract,26.209576206969388,0.7849142181043121,25.424661988865076
angle_p50,specter,28,title,23.346256372234095,0.8691926385132547,22.47706373372084
angle_p50,specter,28,abstract,23.346256372234095,0.6314584589336931,22.7147979133004
angle_p50,specter,29,title,24.232570913099035,0.08904810147510744,24.143522811623928
angle_p50,specter,29,abstract,24.232570913099035,0.6003896810852183,23.632181232013817
angle_p50,specter,30,title,23.70199226326637,0.11255411687813677,23.589438146388233
angle_p50,specter,30,abstract,23.70199226326637,0.5080625743390854,23.193929688927284
angle_p50,specter,31,title,22.542812130594328,1.261931844344602,21.280880286249726
angle_p50,specter,31,abstract,22.542812130594328,0.6247595293310937,21.918052601263234
angle_p50,specter,32,title,21.905154430798902,0.9442371144826751,20.960917316316227
angle_p50,specter,32,abstract,21.905154430798902,0.4104434350206887,21.494710995778213
