main,alternative,comparison,unit,spearman_oriented
angle_p50,center_angle_p50,models within Field,23,0.9999999999999999
angle_p50,center_angle_p50,models within Field,24,0.9999999999999999
angle_p50,center_angle_p50,models within Field,25,0.9999999999999999
angle_p50,center_angle_p50,models within Field,26,0.9999999999999999
angle_p50,center_angle_p50,models within Field,27,0.9999999999999999
angle_p50,center_angle_p50,models within Field,28,0.9999999999999999
angle_p50,center_angle_p50,models within Field,29,0.9999999999999999
angle_p50,center_angle_p50,models within Field,30,0.9999999999999999
angle_p50,center_angle_p50,models within Field,31,0.9999999999999999
angle_p50,center_angle_p50,models within Field,32,0.9999999999999999
angle_p50,center_angle_p50,models within Field,33,0.9999999999999999
angle_p50,center_angle_p50,models within Field,34,0.9999999999999999
angle_p50,center_angle_p50,models within Field,35,0.9878787878787878
angle_p50,center_angle_p50,models within Field,36,0.9999999999999999
pr,erank,Fields within model,specter,0.9555555555555554
pr,erank,Fields within model,specter2,0.7921367521367522
pr,erank,Fields within model,scincl,0.9781196581196581
pr,erank,Fields within model,scibert,0.9008547008547008
pr,erank,Fields within model,bert,0.9876923076923075
pr,erank,Fields within model,mpnet,0.9377777777777777
pr,erank,Fields within model,minilm,0.9644444444444444
pr,erank,Fields within model,pubmedbert,0.9268376068376067
pr,erank,Fields within model,biobert,0.9555555555555554
pr,erank,Fields within model,simcse,0.9603418803418803
pr,erank,models within Field,11,0.9151515151515152
pr,erank,models within Field,12,0.8909090909090909
pr,erank,models within Field,13,0.8909090909090909
pr,erank,models within Field,14,0.8666666666666665
pr,erank,models within Field,15,0.9757575757575757
pr,erank,models within Field,16,0.9030303030303028
pr,erank,models within Field,17,0.8303030303030302
pr,erank,models within Field,18,0.8909090909090909
pr,erank,models within Field,19,0.9757575757575757
pr,erank,models within Field,20,0.9515151515151514
pr,erank,models within Field,21,0.9272727272727272
pr,erank,models within Field,22,0.9272727272727272
pr,erank,models within Field,23,0.8909090909090909
pr,erank,models within Field,24,0.8545454545454544
pr,erank,models within Field,25,0.9515151515151514
pr,erank,models within Field,26,0.9878787878787878
pr,erank,models within Field,27,0.7575757575757575
pr,erank,models within Field,28,0.8545454545454544
pr,erank,models within Field,29,0.9515151515151514
pr,erank,models within Field,30,0.9030303030303028
pr,erank,models within Field,31,0.8909090909090909
pr,erank,models within Field,32,0.9151515151515152
pr,erank,models within Field,33,0.9515151515151514
pr,erank,models within Field,34,0.9757575757575757
pr,erank,models within Field,35,0.9515151515151514
pr,erank,models within Field,36,0.7454545454545454
pr,d80,Fields within model,specter,0.7354574173479356
pr,d80,Fields within model,specter2,0.1750373788757745
pr,d80,Fields within model,scincl,0.7612933501285828
pr,d80,Fields within model,scibert,0.7177741130307513
pr,d80,Fields within model,bert,0.9507853596066529
pr,d80,Fields within model,mpnet,0.879001144223584
pr,d80,Fields within model,minilm,0.8548933315019215
pr,d80,Fields within model,pubmedbert,0.8022011229788074
pr,d80,Fields within model,biobert,0.8644990835339008
pr,d80,Fields within model,simcse,0.8392033796783428
pr,d80,models within Field,11,0.8693049274624923
pr,d80,models within Field,12,0.8545454545454544
