metric,model,field_id,field_name,kind,repeats,reference_n,reference,median,q05,q95,relative_width,relative_median_shift,passes_width,passes_shift,passes_both
angle_p50,specter,11,Agricultural and Biological Sciences,half,20,2000,55.8371385877325,55.82237517557897,55.610817730515926,56.1051757298565,0.008853569718008136,0.00026440130219658415,True,True,True
angle_p50,specter,11,Agricultural and Biological Sciences,external,5,2000,55.8371385877325,55.596050452782144,55.44531632940931,55.854762877567296,0.0073328712486700285,0.004317702179017463,True,True,True
angle_p50,specter,12,Arts and Humanities,half,20,2000,48.00834112588872,47.936772662309444,47.479572533430705,48.24412380544008,0.01592538409116348,0.0014907506050168824,True,True,True
angle_p50,specter,12,Arts and Humanities,external,5,2000,48.00834112588872,48.28899970045922,48.11769301970358,48.49856459166229,0.00793344579351275,0.005846037750701528,True,True,True
angle_p50,specter,13,"Biochemistry, Genetics and Molecular Biology",half,20,2000,57.519149156921124,57.54148883897412,57.28417378836288,57.78727702992549,0.008746708686355383,0.0003883868655992822,True,True,True
angle_p50,specter,13,"Biochemistry, Genetics and Molecular Biology",external,5,2000,57.519149156921124,57.46901140247466,57.42137383533201,57.650157965349955,0.003977529803053655,0.0008716706554486186,True,True,True
angle_p50,specter,14,"Business, Management and Accounting",half,20,2000,52.77444888558338,52.71130916187465,52.50897895760695,52.905538774487496,0.007514238902623141,0.0011964070689893652,True,True,True
angle_p50,specter,14,"Business, Management and Accounting",external,5,2000,52.77444888558338,52.80533520296532,52.66063634255422,53.007769445994406,0.0065776736805491015,0.0005852513486004786,True,True,True
angle_p50,specter,15,Chemical Engineering,half,20,2000,52.879628245923264,52.887385681739985,52.75309133257106,53.104529724347124,0.006646007232533031,0.0001466998932111295,True,True,True
angle_p50,specter,15,Chemical Engineering,external,5,2000,52.879628245923264,52.890737120348234,52.62255673260998,53.02251268763467,0.007563516769910891,0.0002100785272791005,True,True,True
angle_p50,specter,16,Chemistry,half,20,2000,52.5456711635324,52.52068936976284,52.35662601402806,52.929311910085616,0.01089882160369113,0.00047543010140277994,True,True,True
angle_p50,specter,16,Chemistry,external,5,2000,52.5456711635324,52.528834703684275,52.39686933175838,52.78763817878748,0.007436746707696465,0.0003204157350226534,True,True,True
angle_p50,specter,17,Computer Science,half,20,2000,56.18600389420404,56.18276655004112,55.95341658867706,56.3488428324933,0.007037806863090145,5.761833799418756e-05,True,True,True
