model,metric,arts_humanities,medicine,medicine_minus_arts,half_same_direction_count,half_total,external_same_direction_count,external_total
specter,angle_p50,48.00834112588872,59.23153356040341,11.223192434514694,20,20,5,5
specter,angle_p10,36.85812555381371,51.09451191023558,14.236386356421875,,,,
specter,angle_p90,58.779534890809536,65.32374299646992,6.544208105660381,,,,
specter,center_angle_p50,33.655348901803286,43.80272701947729,10.147378117674002,,,,
bert,angle_p50,37.25915750797503,30.93411354795116,-6.325043960023873,20,20,5,5
bert,angle_p10,29.921152975106455,23.921724501344595,-5.99942847376186,,,,
bert,angle_p90,44.73415850150641,38.93466276754545,-5.79949573396096,,,,
bert,center_angle_p50,26.040350823192803,21.483556310562566,-4.556794512630237,,,,
