field_id,field_name,metric,panel,model,rank_1_is_smallest,selection
35,Dentistry,angle_p10,half,specter,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,half,specter2,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,half,scincl,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,half,scibert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,half,bert,2.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,half,mpnet,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,half,minilm,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,half,pubmedbert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,half,biobert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p10,half,simcse,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p90,half,specter,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p90,half,specter2,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p90,half,scincl,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p90,half,scibert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p90,half,bert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p90,half,mpnet,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p90,half,minilm,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p90,half,pubmedbert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p90,half,biobert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p90,half,simcse,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,center_angle_p50,half,specter,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,center_angle_p50,half,specter2,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,center_angle_p50,half,scincl,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,center_angle_p50,half,scibert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,center_angle_p50,half,bert,2.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,center_angle_p50,half,mpnet,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,center_angle_p50,half,minilm,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,center_angle_p50,half,pubmedbert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,center_angle_p50,half,biobert,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,center_angle_p50,half,simcse,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,title,specter,3.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,title,specter2,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
35,Dentistry,angle_p50,title,scincl,1.0,illustrative cases selected after results: smallest worst-model rank for main spread/dimension
