metric,kind,model,repeat,field_rank_spearman
angle_p50,external,bert,3,0.9856410256410256
angle_p50,external,bert,4,0.9883760683760683
angle_p50,half,mpnet,0,0.995213675213675
angle_p50,half,mpnet,1,0.9938461538461537
angle_p50,half,mpnet,2,0.9931623931623932
angle_p50,half,mpnet,3,0.9979487179487179
angle_p50,half,mpnet,4,0.9945299145299145
angle_p50,half,mpnet,5,0.9965811965811966
angle_p50,half,mpnet,6,0.9965811965811966
angle_p50,half,mpnet,7,0.9965811965811966
angle_p50,half,mpnet,8,0.995213675213675
angle_p50,half,mpnet,9,0.9958974358974357
angle_p50,half,mpnet,10,0.995213675213675
angle_p50,half,mpnet,11,0.9958974358974357
angle_p50,half,mpnet,12,0.9972649572649572
angle_p50,half,mpnet,13,0.9986324786324786
angle_p50,half,mpnet,14,0.9972649572649572
angle_p50,half,mpnet,15,0.9965811965811966
angle_p50,half,mpnet,16,0.9979487179487179
angle_p50,half,mpnet,17,0.9958974358974357
angle_p50,half,mpnet,18,0.9972649572649572
angle_p50,half,mpnet,19,0.9965811965811966
angle_p50,external,mpnet,0,0.9972649572649572
angle_p50,external,mpnet,1,0.995213675213675
angle_p50,external,mpnet,2,0.9911111111111112
angle_p50,external,mpnet,3,0.9924786324786324
angle_p50,external,mpnet,4,0.9972649572649572
angle_p50,half,minilm,0,0.9945299145299145
angle_p50,half,minilm,1,0.9917948717948717
angle_p50,half,minilm,2,0.9945299145299145
angle_p50,half,minilm,3,0.9965811965811966
angle_p50,half,minilm,4,0.9979487179487179
angle_p50,half,minilm,5,0.9958974358974357
angle_p50,half,minilm,6,0.9965811965811966
angle_p50,half,minilm,7,0.9917948717948717
angle_p50,half,minilm,8,0.9904273504273503
angle_p50,half,minilm,9,0.9972649572649572
angle_p50,half,minilm,10,0.9917948717948717
angle_p50,half,minilm,11,0.9972649572649572
angle_p50,half,minilm,12,0.9972649572649572
angle_p50,half,minilm,13,0.9945299145299145
angle_p50,half,minilm,14,0.9856410256410256
angle_p50,half,minilm,15,0.9938461538461537
angle_p50,half,minilm,16,0.9938461538461537
angle_p50,half,minilm,17,0.9958974358974357
angle_p50,half,minilm,18,0.9958974358974357
angle_p50,half,minilm,19,0.9986324786324786
angle_p50,external,minilm,0,0.9904273504273503
angle_p50,external,minilm,1,0.9972649572649572
angle_p50,external,minilm,2,0.995213675213675
angle_p50,external,minilm,3,0.9931623931623932
angle_p50,external,minilm,4,0.9958974358974357
angle_p50,half,pubmedbert,0,0.9863247863247863
angle_p50,half,pubmedbert,1,0.9856410256410256
angle_p50,half,pubmedbert,2,0.9911111111111112
angle_p50,half,pubmedbert,3,0.989059829059829
angle_p50,half,pubmedbert,4,0.9692307692307691
angle_p50,half,pubmedbert,5,0.9842735042735041
angle_p50,half,pubmedbert,6,0.9863247863247863
angle_p50,half,pubmedbert,7,0.9911111111111112
angle_p50,half,pubmedbert,8,0.9815384615384615
angle_p50,half,pubmedbert,9,0.9863247863247863
angle_p50,half,pubmedbert,10,0.9883760683760683
angle_p50,half,pubmedbert,11,0.9788034188034187
angle_p50,half,pubmedbert,12,0.9897435897435896
angle_p50,half,pubmedbert,13,0.9883760683760683
angle_p50,half,pubmedbert,14,0.989059829059829
angle_p50,half,pubmedbert,15,0.9945299145299145
angle_p50,half,pubmedbert,16,0.989059829059829
angle_p50,half,pubmedbert,17,0.9815384615384615
angle_p50,half,pubmedbert,18,0.9897435897435896
angle_p50,half,pubmedbert,19,0.9829059829059829
angle_p50,external,pubmedbert,0,0.9924786324786324
angle_p50,external,pubmedbert,1,0.984957264957265
angle_p50,external,pubmedbert,2,0.9842735042735041
angle_p50,external,pubmedbert,3,0.987008547008547
angle_p50,external,pubmedbert,4,0.9835897435897435
angle_p50,half,biobert,0,0.9897435897435896
angle_p50,half,biobert,1,0.995213675213675
angle_p50,half,biobert,2,0.9897435897435896
angle_p50,half,biobert,3,0.9904273504273503
angle_p50,half,biobert,4,0.989059829059829
angle_p50,half,biobert,5,0.9801709401709401
angle_p50,half,biobert,6,0.9938461538461537
angle_p50,half,biobert,7,0.9938461538461537
angle_p50,half,biobert,8,0.9945299145299145
angle_p50,half,biobert,9,0.9965811965811966
angle_p50,half,biobert,10,0.9958974358974357
angle_p50,half,biobert,11,0.9945299145299145
angle_p50,half,biobert,12,0.9945299145299145
angle_p50,half,biobert,13,0.9917948717948717
angle_p50,half,biobert,14,0.9917948717948717
angle_p50,half,biobert,15,0.995213675213675
angle_p50,half,biobert,16,0.9958974358974357
angle_p50,half,biobert,17,0.9911111111111112
angle_p50,half,biobert,18,0.9972649572649572
angle_p50,half,biobert,19,0.9972649572649572
angle_p50,external,biobert,0,0.9904273504273503
angle_p50,external,biobert,1,0.9911111111111112
angle_p50,external,biobert,2,0.984957264957265
angle_p50,external,biobert,3,0.9931623931623932
angle_p50,external,biobert,4,0.9904273504273503
angle_p50,half,simcse,0,0.9945299145299145
angle_p50,half,simcse,1,0.9911111111111112
angle_p50,half,simcse,2,0.9958974358974357
angle_p50,half,simcse,3,0.9979487179487179
angle_p50,half,simcse,4,0.987008547008547
angle_p50,half,simcse,5,0.9917948717948717
angle_p50,half,simcse,6,0.9945299145299145
angle_p50,half,simcse,7,0.9958974358974357
angle_p50,half,simcse,8,0.9931623931623932
angle_p50,half,simcse,9,0.9993162393162391
angle_p50,half,simcse,10,0.9958974358974357
angle_p50,half,simcse,11,0.9945299145299145
angle_p50,half,simcse,12,0.9986324786324786
angle_p50,half,simcse,13,0.9958974358974357
angle_p50,half,simcse,14,0.9917948717948717
angle_p50,half,simcse,15,0.9958974358974357
angle_p50,half,simcse,16,0.9979487179487179
angle_p50,half,simcse,17,0.995213675213675
angle_p50,half,simcse,18,0.995213675213675
angle_p50,half,simcse,19,0.9945299145299145
angle_p50,external,simcse,0,0.9958974358974357
angle_p50,external,simcse,1,0.9924786324786324
angle_p50,external,simcse,2,0.9931623931623932
angle_p50,external,simcse,3,0.9938461538461537
angle_p50,external,simcse,4,0.9979487179487179
pr,half,specter,0,0.9986324786324786
pr,half,specter,1,0.9979487179487179
pr,half,specter,2,0.9958974358974357
pr,half,specter,3,0.9986324786324786
pr,half,specter,4,0.9972649572649572
pr,half,specter,5,0.9972649572649572
pr,half,specter,6,0.9938461538461537
pr,half,specter,7,0.9972649572649572
pr,half,specter,8,0.9965811965811966
pr,half,specter,9,0.9993162393162391
pr,half,specter,10,0.9979487179487179
pr,half,specter,11,0.9945299145299145
pr,half,specter,12,0.9979487179487179
pr,half,specter,13,0.9979487179487179
pr,half,specter,14,0.9986324786324786
pr,half,specter,15,0.9945299145299145
pr,half,specter,16,0.9972649572649572
pr,half,specter,17,0.9965811965811966
pr,half,specter,18,0.9979487179487179
pr,half,specter,19,0.9986324786324786
pr,external,specter,0,0.9931623931623932
pr,external,specter,1,0.9911111111111112
pr,external,specter,2,0.9924786324786324
pr,external,specter,3,0.9938461538461537
pr,external,specter,4,0.9938461538461537
pr,half,specter2,0,0.9972649572649572
pr,half,specter2,1,0.9904273504273503
pr,half,specter2,2,0.9917948717948717
pr,half,specter2,3,0.9904273504273503
pr,half,specter2,4,0.9958974358974357
pr,half,specter2,5,0.9904273504273503
pr,half,specter2,6,0.9883760683760683
pr,half,specter2,7,0.9815384615384615
pr,half,specter2,8,0.9924786324786324
pr,half,specter2,9,0.9856410256410256
pr,half,specter2,10,0.9911111111111112
pr,half,specter2,11,0.987008547008547
pr,half,specter2,12,0.9835897435897435
pr,half,specter2,13,0.9801709401709401
pr,half,specter2,14,0.9931623931623932
pr,half,specter2,15,0.989059829059829
pr,half,specter2,16,0.9911111111111112
pr,half,specter2,17,0.9911111111111112
pr,half,specter2,18,0.9965811965811966
pr,half,specter2,19,0.9938461538461537
pr,external,specter2,0,0.9863247863247863
pr,external,specter2,1,0.9863247863247863
pr,external,specter2,2,0.984957264957265
pr,external,specter2,3,0.987008547008547
pr,external,specter2,4,0.995213675213675
pr,half,scincl,0,0.9945299145299145
pr,half,scincl,1,0.9986324786324786
pr,half,scincl,2,0.9924786324786324
pr,half,scincl,3,0.9965811965811966
pr,half,scincl,4,0.9931623931623932
pr,half,scincl,5,0.9958974358974357
pr,half,scincl,6,0.9829059829059829
pr,half,scincl,7,0.9945299145299145
pr,half,scincl,8,0.9958974358974357
pr,half,scincl,9,0.9945299145299145
pr,half,scincl,10,0.9876923076923075
pr,half,scincl,11,0.995213675213675
pr,half,scincl,12,0.9958974358974357
pr,half,scincl,13,0.9924786324786324
pr,half,scincl,14,0.9986324786324786
pr,half,scincl,15,0.9904273504273503
pr,half,scincl,16,0.9883760683760683
pr,half,scincl,17,0.9986324786324786
pr,half,scincl,18,0.9965811965811966
pr,half,scincl,19,0.9904273504273503
pr,external,scincl,0,0.987008547008547
pr,external,scincl,1,0.995213675213675
pr,external,scincl,2,0.989059829059829
pr,external,scincl,3,0.9938461538461537
pr,external,scincl,4,0.9876923076923075
pr,half,scibert,0,0.9876923076923075
pr,half,scibert,1,0.9924786324786324
pr,half,scibert,2,0.9897435897435896
pr,half,scibert,3,0.9788034188034187
pr,half,scibert,4,0.9863247863247863
pr,half,scibert,5,0.974017094017094
pr,half,scibert,6,0.9808547008547008
pr,half,scibert,7,0.9829059829059829
pr,half,scibert,8,0.9781196581196581
pr,half,scibert,9,0.9842735042735041
pr,half,scibert,10,0.987008547008547
pr,half,scibert,11,0.9863247863247863
pr,half,scibert,12,0.9911111111111112
pr,half,scibert,13,0.9808547008547008
pr,half,scibert,14,0.987008547008547
pr,half,scibert,15,0.9917948717948717
pr,half,scibert,16,0.9876923076923075
pr,half,scibert,17,0.9822222222222221
pr,half,scibert,18,0.9931623931623932
pr,half,scibert,19,0.995213675213675
pr,external,scibert,0,0.9842735042735041
pr,external,scibert,1,0.9829059829059829
pr,external,scibert,2,0.989059829059829
pr,external,scibert,3,0.9883760683760683
pr,external,scibert,4,0.9856410256410256
pr,half,bert,0,0.9904273504273503
pr,half,bert,1,0.9972649572649572
pr,half,bert,2,0.989059829059829
pr,half,bert,3,0.9883760683760683
pr,half,bert,4,0.9958974358974357
pr,half,bert,5,0.9924786324786324
pr,half,bert,6,0.9972649572649572
pr,half,bert,7,0.9897435897435896
pr,half,bert,8,0.9924786324786324
pr,half,bert,9,0.9938461538461537
pr,half,bert,10,0.9917948717948717
pr,half,bert,11,0.9876923076923075
pr,half,bert,12,0.9924786324786324
pr,half,bert,13,0.9931623931623932
pr,half,bert,14,0.9938461538461537
pr,half,bert,15,0.9911111111111112
pr,half,bert,16,0.9945299145299145
pr,half,bert,17,0.9897435897435896
pr,half,bert,18,0.9924786324786324
pr,half,bert,19,0.9924786324786324
pr,external,bert,0,0.9938461538461537
pr,external,bert,1,0.9911111111111112
pr,external,bert,2,0.9945299145299145
pr,external,bert,3,0.9945299145299145
pr,external,bert,4,0.9917948717948717
pr,half,mpnet,0,0.9938461538461537
pr,half,mpnet,1,0.9911111111111112
pr,half,mpnet,2,0.9917948717948717
pr,half,mpnet,3,0.9945299145299145
pr,half,mpnet,4,0.9931623931623932
pr,half,mpnet,5,0.995213675213675
pr,half,mpnet,6,0.9958974358974357
pr,half,mpnet,7,0.9958974358974357
pr,half,mpnet,8,0.9945299145299145
pr,half,mpnet,9,0.995213675213675
pr,half,mpnet,10,0.995213675213675
pr,half,mpnet,11,0.995213675213675
pr,half,mpnet,12,0.9924786324786324
pr,half,mpnet,13,0.995213675213675
pr,half,mpnet,14,0.9965811965811966
pr,half,mpnet,15,0.9917948717948717
pr,half,mpnet,16,0.9945299145299145
pr,half,mpnet,17,0.9931623931623932
pr,half,mpnet,18,0.9924786324786324
pr,half,mpnet,19,0.9979487179487179
pr,external,mpnet,0,0.9931623931623932
pr,external,mpnet,1,0.9938461538461537
pr,external,mpnet,2,0.9911111111111112
pr,external,mpnet,3,0.9808547008547008
pr,external,mpnet,4,0.984957264957265
pr,half,minilm,0,0.9945299145299145
pr,half,minilm,1,0.9917948717948717
pr,half,minilm,2,0.9938461538461537
pr,half,minilm,3,0.9945299145299145
pr,half,minilm,4,0.9904273504273503
pr,half,minilm,5,0.995213675213675
pr,half,minilm,6,0.9904273504273503
pr,half,minilm,7,0.9924786324786324
pr,half,minilm,8,0.989059829059829
pr,half,minilm,9,0.9931623931623932
pr,half,minilm,10,0.9958974358974357
pr,half,minilm,11,0.9945299145299145
pr,half,minilm,12,0.989059829059829
pr,half,minilm,13,0.9958974358974357
pr,half,minilm,14,0.995213675213675
pr,half,minilm,15,0.995213675213675
pr,half,minilm,16,0.9917948717948717
pr,half,minilm,17,0.9938461538461537
pr,half,minilm,18,0.9911111111111112
pr,half,minilm,19,0.9972649572649572
pr,external,minilm,0,0.9938461538461537
pr,external,minilm,1,0.9972649572649572
pr,external,minilm,2,0.9931623931623932
pr,external,minilm,3,0.9979487179487179
pr,external,minilm,4,0.9917948717948717
