metric,model,condition,field_rank_spearman
angle_p50,simcse,trim_extreme,0.9993162393162391
pr,specter,trim_extreme,0.9917948717948717
pr,specter2,trim_extreme,0.9904273504273503
pr,scincl,trim_extreme,0.9835897435897435
pr,scibert,trim_extreme,0.9767521367521367
pr,bert,trim_extreme,0.9938461538461537
pr,mpnet,trim_extreme,0.9945299145299145
pr,minilm,trim_extreme,0.9938461538461537
pr,pubmedbert,trim_extreme,0.9507692307692307
pr,biobert,trim_extreme,0.909059829059829
pr,simcse,trim_extreme,0.9883760683760683
gap_25,specter,trim_extreme,0.9357264957264957
gap_25,specter2,trim_extreme,0.9295726495726495
gap_25,scincl,trim_extreme,0.9917948717948717
gap_25,scibert,trim_extreme,0.995213675213675
gap_25,bert,trim_extreme,0.9658119658119657
gap_25,mpnet,trim_extreme,0.965128205128205
gap_25,minilm,trim_extreme,0.9794871794871794
gap_25,pubmedbert,trim_extreme,0.9733333333333332
gap_25,biobert,trim_extreme,0.9876923076923075
gap_25,simcse,trim_extreme,0.9309401709401708
angle_p50,bert,pool_cls,0.8406837606837606
angle_p50,scibert,pool_cls,0.6868376068376068
angle_p50,pubmedbert,pool_cls,0.5049572649572649
angle_p50,biobert,pool_cls,0.13299145299145299
pr,bert,pool_cls,0.816068376068376
pr,scibert,pool_cls,0.563076923076923
pr,pubmedbert,pool_cls,0.4570940170940171
pr,biobert,pool_cls,0.8085470085470086
gap_25,bert,pool_cls,0.4317948717948718
gap_25,scibert,pool_cls,0.2547008547008547
gap_25,pubmedbert,pool_cls,0.39145299145299145
gap_25,biobert,pool_cls,0.7504273504273503
angle_p50,bert,pool_sep,0.803076923076923
angle_p50,scibert,pool_sep,0.6902564102564103
angle_p50,pubmedbert,pool_sep,0.7668376068376067
angle_p50,biobert,pool_sep,0.6396581196581196
pr,bert,pool_sep,0.5138461538461538
pr,scibert,pool_sep,0.41948717948717945
pr,pubmedbert,pool_sep,0.5302564102564101
pr,biobert,pool_sep,0.831111111111111
gap_25,bert,pool_sep,0.5487179487179487
gap_25,scibert,pool_sep,0.05504273504273505
gap_25,pubmedbert,pool_sep,0.6813675213675212
gap_25,biobert,pool_sep,0.9035897435897435
angle_p50,specter,common,0.9965811965811966
angle_p50,specter2,common,0.9931623931623932
angle_p50,scincl,common,0.9993162393162391
angle_p50,scibert,common,0.989059829059829
angle_p50,bert,common,0.9835897435897435
angle_p50,mpnet,common,0.9958974358974357
angle_p50,minilm,common,0.9999999999999999
angle_p50,pubmedbert,common,0.9521367521367521
angle_p50,biobert,common,0.9883760683760683
angle_p50,simcse,common,0.987008547008547
pr,specter,common,0.9972649572649572
pr,specter2,common,0.9876923076923075
pr,scincl,common,0.9993162393162391
pr,scibert,common,0.8304273504273504
pr,bert,common,0.9958974358974357
pr,mpnet,common,0.9945299145299145
pr,minilm,common,0.9999999999999999
pr,pubmedbert,common,0.8776068376068377
pr,biobert,common,0.9829059829059829
pr,simcse,common,0.9945299145299145
gap_25,specter,common,0.9931623931623932
gap_25,specter2,common,0.9972649572649572
gap_25,scincl,common,0.9924786324786324
gap_25,scibert,common,0.8837606837606837
gap_25,bert,common,0.9446153846153844
gap_25,mpnet,common,0.9979487179487179
gap_25,minilm,common,0.9993162393162391
gap_25,pubmedbert,common,0.937094017094017
gap_25,biobert,common,0.945982905982906
gap_25,simcse,common,0.9234188034188033
angle_p50,minilm,minilm512,0.9726495726495725
pr,minilm,minilm512,0.987008547008547
gap_25,minilm,minilm512,0.9726495726495725
