metric,panel,minimum_relative_difference,unanimous,contradiction,unresolved,pairs,models,contradiction_and_alternatives,unanimous_and_alternatives
angle_p50,omit_minilm,0.0,44,259,22,325,9,223,28
angle_p50,omit_minilm,0.01,30,236,59,325,9,213,27
angle_p50,omit_minilm,0.05,10,96,219,325,9,95,10
angle_p50,omit_minilm,0.1,0,19,306,325,9,19,0
angle_p50,omit_pubmedbert,0.0,42,261,22,325,9,220,30
angle_p50,omit_pubmedbert,0.01,31,236,58,325,9,210,29
angle_p50,omit_pubmedbert,0.05,11,94,220,325,9,93,11
angle_p50,omit_pubmedbert,0.1,0,19,306,325,9,19,0
angle_p50,omit_biobert,0.0,42,259,24,325,9,217,28
angle_p50,omit_biobert,0.01,31,232,62,325,9,206,27
angle_p50,omit_biobert,0.05,11,91,223,325,9,91,11
angle_p50,omit_biobert,0.1,0,19,306,325,9,19,0
angle_p50,omit_simcse,0.0,42,259,24,325,9,217,30
angle_p50,omit_simcse,0.01,30,234,61,325,9,210,29
angle_p50,omit_simcse,0.05,10,87,228,325,9,84,10
angle_p50,omit_simcse,0.1,0,16,309,325,9,16,0
pr,all_ten,0.0,54,221,50,325,10,190,5
pr,all_ten,0.01,50,213,62,325,10,180,5
pr,all_ten,0.05,36,177,112,325,10,151,4
pr,all_ten,0.1,26,126,173,325,10,114,4
pr,six_similarity,0.0,107,160,58,325,6,115,13
pr,six_similarity,0.01,98,154,73,325,6,107,13
pr,six_similarity,0.05,77,114,134,325,6,81,12
pr,six_similarity,0.1,46,72,207,325,6,51,10
pr,omit_specter,0.0,57,212,56,325,9,174,5
pr,omit_specter,0.01,53,205,67,325,9,166,5
pr,omit_specter,0.05,39,165,121,325,9,136,4
pr,omit_specter,0.1,26,114,185,325,9,102,4
pr,omit_specter2,0.0,60,211,54,325,9,173,16
pr,omit_specter2,0.01,56,202,67,325,9,165,14
pr,omit_specter2,0.05,42,163,120,325,9,138,10
pr,omit_specter2,0.1,28,117,180,325,9,108,9
pr,omit_scincl,0.0,56,215,54,325,9,182,5
pr,omit_scincl,0.01,52,207,66,325,9,174,5
pr,omit_scincl,0.05,36,172,117,325,9,146,4
pr,omit_scincl,0.1,26,124,175,325,9,111,4
pr,omit_scibert,0.0,56,218,51,325,9,187,5
pr,omit_scibert,0.01,51,212,62,325,9,178,5
pr,omit_scibert,0.05,38,175,112,325,9,149,5
pr,omit_scibert,0.1,28,126,171,325,9,114,5
pr,omit_bert,0.0,60,211,54,325,9,176,7
pr,omit_bert,0.01,54,203,68,325,9,165,7
pr,omit_bert,0.05,40,158,127,325,9,131,6
pr,omit_bert,0.1,27,103,195,325,9,93,5
pr,omit_mpnet,0.0,56,218,51,325,9,186,5
pr,omit_mpnet,0.01,51,209,65,325,9,176,5
pr,omit_mpnet,0.05,37,173,115,325,9,146,4
pr,omit_mpnet,0.1,29,122,174,325,9,111,4
pr,omit_minilm,0.0,54,221,50,325,9,188,5
pr,omit_minilm,0.01,50,213,62,325,9,178,5
pr,omit_minilm,0.05,36,175,114,325,9,147,4
pr,omit_minilm,0.1,27,125,173,325,9,111,4
pr,omit_pubmedbert,0.0,64,206,55,325,9,187,6
pr,omit_pubmedbert,0.01,58,198,69,325,9,177,6
pr,omit_pubmedbert,0.05,41,164,120,325,9,148,4
pr,omit_pubmedbert,0.1,29,116,180,325,9,109,4
pr,omit_biobert,0.0,59,212,54,325,9,169,6
pr,omit_biobert,0.01,56,205,64,325,9,160,6
pr,omit_biobert,0.05,40,167,118,325,9,132,5
pr,omit_biobert,0.1,27,114,184,325,9,98,5
pr,omit_simcse,0.0,56,217,52,325,9,183,6
pr,omit_simcse,0.01,53,208,64,325,9,172,6
pr,omit_simcse,0.05,39,176,110,325,9,150,5
pr,omit_simcse,0.1,26,122,177,325,9,110,5
