design,repetitions,observed_mean,random_mean,mean_difference,smallest_paired_difference,random_max,observed_min,observed_p025,random_at_least_observed_p025,random_at_least_any_observed,random_at_least_paired_observed
nested26,500,0.9044849785308806,0.6596406631933955,0.24484431533748496,0.10360845329416768,0.7993474483605602,0.8637758841780018,0.8780168813408786,0,0,0
repeat256_field,50,0.9401160460142737,0.6265866551462236,0.3135293908680501,0.20000508810894357,0.7420198962552238,0.936940715140537,0.9370323126349868,0,0,0
repeat256_subfield217,50,0.9113747384873061,0.6364083299051595,0.27496640858214666,0.23923146904806236,0.6711087024451697,0.9098242949593319,0.9100585912012679,0,0,0
size128_field,50,0.937727735567906,0.6184213717194095,0.3193063638484964,0.2269745828529639,0.7112164844926323,0.9333858253052499,0.9339991367519395,0,0,0
size128_subfield183,50,0.9125159473810786,0.6168451026884214,0.2956708446926572,0.2632430185109168,0.6489296958460091,0.9111284341718116,0.9112404163383654,0,0,0
size256_field,50,0.9397693410820713,0.626139127719146,0.31363021336292535,0.19500283441949007,0.7444707632908044,0.9371182580324131,0.9373269748499888,0,0,0
size256_subfield183,50,0.9141001625616926,0.6287221286236476,0.285378033938045,0.2604622122127589,0.6532907981672401,0.9129765121061116,0.9132125214292991,0,0,0
size512_field,50,0.9409544039730245,0.6470666585356127,0.2938877454374118,0.18335017218600913,0.7572438130840509,0.9389556173109506,0.9392709988864315,0,0,0
size512_subfield183,50,0.9148033971247073,0.6605384195174204,0.2542649776072868,0.2154496858423932,0.6989939963467803,0.9143669945434795,0.9143846742700653,0,0,0
