scope,k,cells,original_all_query_overlap,original_same_query_overlap,filtered_overlap,change_pp,mean_absolute_change_pp,adjusted_change_pp,largest_absolute_cell_pair_change_pp
all,10,130,0.2616278292026697,0.26413797496164715,0.2707495799658476,0.6611605004200428,0.6614273132423525,0.6239397216386108,3.3720087019579403
all,25,130,0.30285281102053363,0.30576780990674624,0.31430111342473077,0.8533303517984543,0.8534010395167324,0.7675114192736863,4.351026185421092
all,50,130,0.3392706970690282,0.3423791223718687,0.35275791441263565,1.0378792040766975,1.037888957672285,0.8778893778246338,5.24699221514508
1024,10,130,,0.3070617094017094,0.309080170940171,0.2018461538461539,0.647111111111111,0.20383871212696483,4.999999999999999
1024,25,130,,0.36011952136752134,0.36287589743589743,0.27563760683760685,0.5616410256410256,0.28254235650788767,4.560000000000003
1024,50,130,,0.40796403418803423,0.4110951452991453,0.3131111111111111,0.5394017094017094,0.3292010962658444,3.4400000000000013
2048,10,63,,0.27675343915343914,0.278310405643739,0.1556966490299823,0.5202116402116402,0.156460991931455,3.6999999999999975
2048,25,63,,0.3205889241622575,0.32253248677248675,0.19435626102292777,0.41694532627865966,0.19675928106524881,2.4799999999999986
2048,50,63,,0.35895132275132274,0.36133403880070547,0.23827160493827157,0.4081340388007055,0.2442373436698257,2.460000000000001
