recipe,k,field_id,n,mean,median,p025,p975,min,max,positive_fraction
cls,25,29,50,-0.057158266666666666,-0.05719644444444444,-0.06301711111111104,-0.05270232222222223,-0.06553200000000003,-0.05225111111111114,0.0
sep,25,29,50,-0.043840080000000003,-0.04391600000000001,-0.049433366666666735,-0.038715833333333366,-0.05278622222222218,-0.038295999999999886,0.0
mean,10,30,50,0.0014301777777777768,0.0015611111111111242,-0.004451722222222082,0.007347527777777847,-0.005558888888889002,0.007739999999999969,0.66
mean,25,30,50,-0.004667493333333366,-0.004959333333333538,-0.010130288888888886,0.000779088888888954,-0.010300888888888693,0.003671555555555428,0.12
mean,50,30,50,-0.009361555555555559,-0.009313555555555686,-0.014779455555555704,-0.002823372222222374,-0.015114222222222473,0.00015399999999987646,0.02
cls,25,30,50,-0.05022206222222225,-0.050340888888888935,-0.05504637777777777,-0.04629228888888899,-0.05516355555555552,-0.044295111111111174,0.0
sep,25,30,50,-0.042865484444444456,-0.04300044444444445,-0.04799556666666671,-0.03796733333333337,-0.04862400000000011,-0.03768622222222229,0.0
mean,10,31,50,0.05374886666666666,0.05298000000000008,0.047279027777777885,0.06158827777777776,0.046003333333333174,0.06334666666666666,1.0
mean,25,31,50,0.053013084444444435,0.05272155555555558,0.04748988888888887,0.05988578888888894,0.046208444444444385,0.060176888888888946,1.0
mean,50,31,50,0.04766816888888889,0.04737733333333333,0.04050139444444438,0.0544267833333334,0.03904066666666661,0.05492066666666673,1.0
cls,25,31,50,0.00391903111111114,0.004008666666666716,-0.0005827444444441692,0.010103466666666614,-0.0011902222222220926,0.010631111111111147,0.9
sep,25,31,50,0.014494782222222223,0.01439911111111114,0.009461011111111136,0.020558911111111095,0.008462222222222149,0.02138444444444454,1.0
mean,10,32,50,0.015510466666666676,0.01498222222222223,0.008391472222222331,0.022339666666666754,0.006541111111111331,0.023117777777777904,1.0
mean,25,32,50,0.014754657777777768,0.014897777777777843,0.008258433333333278,0.021372411111111198,0.0075106666666664434,0.02281555555555559,1.0
mean,50,32,50,0.013321986666666664,0.013788888888888795,0.006857166666666828,0.01994243333333328,0.0062873333333334225,0.021168222222222255,1.0
