omitted_field,model_a,model_b,n,mean,median,p025,p975,min,max,largest_absolute_change
11,specter,specter2,51,0.005018293507883942,0.005113683382035106,0.003876373035822056,0.0061415280606689215,0.003736044093454405,0.006437960532328146,0.006437960532328146
11,specter,scincl,51,0.0011168883290647558,0.0010938542901024473,0.0005794269593835111,0.0016321362337721745,0.0005481036924958049,0.0016608117158052327,0.0016608117158052327
11,specter,scibert,51,0.005069607288388297,0.004995707479356071,0.004035477597067905,0.006166251950487561,0.0038525049493792762,0.007305863160037562,0.007305863160037562
11,specter,bert,51,0.00790843978238915,0.007874979365718349,0.006519926080613386,0.009425252178101556,0.006368078302397162,0.009975202992521082,0.009975202992521082
11,specter,mpnet,51,0.0031766723540636796,0.0031968942766941177,0.0022723437255797174,0.00415580623881634,0.0017651496584213389,0.004455544171200199,0.004455544171200199
11,specter,minilm,51,0.001572480421269673,0.0015997526645717963,0.0007884933777841108,0.0023205423326555508,0.0007577905192688306,0.0025306974845545893,0.0025306974845545893
11,specter,pubmedbert,51,0.00405092449477192,0.0041304846143792595,0.0027898813951409973,0.0053727772435660515,0.002705649890542672,0.0055434274538711525,0.0055434274538711525
11,specter,biobert,51,0.004949716335380894,0.0050474960378422695,0.0038003907436819084,0.005973768033934235,0.003602518910681307,0.006166047424358334,0.006166047424358334
11,specter,simcse,51,0.006418896182259107,0.006340994972409253,0.005150422931435611,0.007859702016799225,0.004570182504103681,0.007944517207994939,0.007944517207994939
11,specter2,scincl,51,0.0016208693217322385,0.0015932107123096673,0.0011457610868930712,0.0020726238346344683,0.001025441418892048,0.0020799972012656154,0.0020799972012656154
11,specter2,scibert,51,0.0022320297116074344,0.0021250116024448262,0.0014136844282813532,0.0035610272943398247,0.0013089052801528167,0.0038694508099738067,0.0038694508099738067
11,specter2,bert,51,0.0020460189931608423,0.0020337913889996173,0.0014542891724905194,0.0027047791165079327,0.001333970461106837,0.002775392832298995,0.002775392832298995
11,specter2,mpnet,51,0.0011631414448952202,0.001160050370016319,0.0007529710440951909,0.0015260057269282645,0.0007222427343995808,0.001905584493849144,0.001905584493849144
11,specter2,minilm,51,0.0016825610849491629,0.0017050128786550989,0.0012287667158214222,0.0021391302549070568,0.0011305632717735214,0.0023436399600724744,0.0023436399600724744
11,specter2,pubmedbert,51,0.0011180034536812475,0.0010858509653921544,0.0003524400476371259,0.002385385052363853,0.00010634586587787709,0.002824853445921205,0.002824853445921205
11,specter2,biobert,51,0.0009230984147024687,0.0008613753795080337,0.00032362125882876014,0.0015821014990871352,0.00026162378656413576,0.0016459602665874762,0.0016459602665874762
11,specter2,simcse,51,0.0023731140337945114,0.0023887844472886277,0.0014415980344334722,0.0036182229667239274,0.0013803966862118155,0.0038867235633091024,0.0038867235633091024
11,scincl,scibert,51,0.0032312981064548667,0.0032162014056671406,0.0021699926408353387,0.004492354525100689,0.0021330937821922857,0.004994946629193198,0.004994946629193198
11,scincl,bert,51,0.004096884203809072,0.00415806185011891,0.0029822249773758525,0.0049669837022412455,0.0028913496544421546,0.0053307272179551335,0.0053307272179551335
11,scincl,mpnet,51,-0.00022465540462577793,-0.00019510533828415166,-0.0008429507442265227,0.0003856636412586101,-0.0008805060408705323,0.0006016075231466411,0.0008805060408705323
11,scincl,minilm,51,-0.0009956477592574905,-0.0009920647466324928,-0.001448917411672107,-0.0005729815362641721,-0.0016037944598741305,-0.0004723232627024121,0.0016037944598741305
11,scincl,pubmedbert,51,0.0027042156788370823,0.0026987380946782435,0.001741779861229864,0.0038599146571435816,0.0015633860282946443,0.004217499765551858,0.004217499765551858
11,scincl,biobert,51,0.0025881305937172235,0.0026762856373748756,0.0016531785263363963,0.003332609967626604,0.0015863710303005707,0.0034003808285368864,0.0034003808285368864
11,scincl,simcse,51,0.003999992137588898,0.004006955681223001,0.0029337044513190746,0.005246805394583581,0.0028249239243733903,0.005405684576604286,0.005405684576604286
