scope,k,field_id,n,mean,median,p025,p975,min,max
2048,10,22,225,0.2044444444444443,0.10000000000000009,-1.040000000000001,1.899999999999999,-1.799999999999999,3.6999999999999975
2048,25,22,225,0.1504000000000002,0.15999999999999903,-0.8560000000000023,1.1200000000000014,-1.4400000000000024,2.160000000000001
2048,50,22,225,0.36702222222222214,0.3400000000000014,-0.7199999999999984,1.2999999999999996,-1.7000000000000015,1.799999999999999
all,10,23,225,0.5251657507951963,0.4470652770159067,0.016494121775748608,1.425088478175383,-0.031584488506758435,1.8579818473037912
all,25,23,225,0.629412293261833,0.5244103126714222,0.012629735106759467,1.7620133700353926,-0.025267590805405638,2.351308061932728
all,50,23,225,0.7661212475396331,0.6316066263476194,0.040779084049835664,2.221156114825009,0.01298473416389001,2.7197010144153766
1024,10,23,225,0.03777777777777792,0.09999999999999731,-1.4400000000000013,1.7400000000000022,-2.6999999999999913,2.500000000000002
1024,25,23,225,0.20142222222222217,0.23999999999999577,-0.6959999999999977,1.1199999999999988,-0.9599999999999997,1.2799999999999978
1024,50,23,225,0.29448888888888886,0.2799999999999969,-0.5639999999999978,1.4720000000000015,-1.100000000000001,2.0000000000000018
2048,10,23,180,0.16777777777777758,0.1999999999999988,-0.8524999999999993,1.3050000000000008,-1.4000000000000012,2.0000000000000018
2048,25,23,180,0.22555555555555565,0.15999999999999903,-0.6629999999999994,1.440000000000001,-1.040000000000002,2.4799999999999986
2048,50,23,180,0.2804444444444444,0.22999999999999687,-0.4610000000000021,1.4640000000000009,-0.8400000000000019,2.460000000000001
all,10,24,225,0.26734158008794306,0.2592414786365821,0.00976734128427248,0.6227250368912964,-0.03384912959381037,0.9690113133300565
all,25,24,225,0.34575769000685785,0.3246433841613383,0.028913147842785092,0.8930097667827058,-0.13772749631086878,1.1765863256271492
all,50,24,225,0.4147456201874761,0.3898223715794513,0.051855253362277365,1.0532744631850848,-0.02852926709295822,1.2946384653221843
1024,10,24,225,0.10888888888888894,0.10000000000000009,-1.0000000000000009,1.100000000000001,-1.3000000000000012,1.3000000000000012
1024,25,24,225,0.12266666666666667,0.15999999999999903,-0.7599999999999996,0.9280000000000017,-0.9600000000000053,1.8000000000000016
1024,50,24,225,0.0944888888888887,0.08000000000000229,-0.6400000000000072,0.8240000000000006,-0.8799999999999919,0.9800000000000031
2048,10,24,135,0.004444444444444198,0.0,-0.7650000000000007,0.8000000000000007,-1.200000000000001,1.5999999999999959
