level,size_a,size_b,n,mean,median,p025,p975,min,max
field,128,256,50,0.993760210803689,0.9940711462450591,0.9879677206851118,0.9972760210803687,0.9856389986824768,0.9973649538866929
field,256,512,50,0.9969064558629773,0.997167325428195,0.994891304347826,0.998155467720685,0.9945981554677206,0.998550724637681
field,128,512,50,0.9917312252964428,0.9924901185770749,0.984469696969697,0.9964262187088273,0.9814229249011857,0.9976284584980236
subfield183,128,256,50,0.9993544137022397,0.9993412384716732,0.9986824769433464,0.9997364953886693,0.9986824769433464,0.9998682476943345
subfield183,256,512,50,0.9995230566534913,0.9996047430830038,0.9989459815546771,0.9998386034255597,0.9986824769433464,0.9998682476943345
subfield183,128,512,50,0.9991620553359682,0.9992094861660078,0.9983465085638998,0.9997364953886693,0.9982872200263504,0.9998682476943345
