selection,omitted_field,mean_without,mean_change,largest_pair_change
0,11,0.9445860159808039,0.0021163491379579047,0.00671730590663322
0,12,0.9454167283432456,0.0029470615003995048,0.015496704000499406
0,13,0.9416080534734116,-0.0008616133694344613,0.005788505161755997
0,14,0.9394496222086164,-0.0030200446342296535,0.006098615143779518
0,15,0.9398949181553242,-0.002574748687521754,0.007654347178688292
0,16,0.9420539869571997,-0.0004156798856464805,0.007497648377010058
0,17,0.9424686165590137,-1.0502838322255947e-06,0.0035616117173897788
0,18,0.9402533620608063,-0.0022163047820395578,0.0048843767192101595
0,19,0.9453547059429839,0.0028850391001379143,0.009725411985402777
0,20,0.9406363287985187,-0.0018333380443275112,0.005807405060069715
0,21,0.9424335437098883,-3.612313295779194e-05,0.0036396824993503163
0,22,0.9427079647944872,0.00023829795164093486,0.004775412570540705
0,23,0.9464918120284889,0.004022145185642767,0.014100168038380989
0,24,0.9414833457221765,-0.0009863211206694485,0.005836026884352474
0,25,0.9398889088743658,-0.002580757968480301,0.008242809628343895
0,26,0.9480030625113394,0.005533395668493382,0.01688003709988095
0,27,0.9414877112903366,-0.0009819555525092023,0.004536106377063587
0,28,0.9454506720946575,0.0029810052518113132,0.012857468772433323
0,29,0.9418273182111415,-0.000642348631704379,0.0026685000623896116
0,30,0.9404704524997162,-0.001999214343129996,0.006989583636383134
0,31,0.9423615208525845,-0.00010814599026151624,0.004098730173404674
0,32,0.9438048499102952,0.0013351830674493551,0.007706771875595986
0,33,0.9377938211557608,-0.004675845687085552,0.010647626318185943
0,34,0.9414283134905485,-0.0010413533522976174,0.005529862946952235
0,35,0.9458754965902654,0.003405829747419162,0.013642157650782694
0,36,0.9421137899104812,-0.0003558769323648884,0.0036984707014654505
1,11,0.9426609713993617,0.0024275147204411104,0.008691305671284955
1,12,0.9417469238197662,0.0015134671408457627,0.010834596380802863
1,13,0.9388521168821982,-0.0013813397967226161,0.007095006171129459
1,14,0.9373265584235879,-0.002906898255332857,0.006276150865381802
1,15,0.9379096972259849,-0.002323759452935683,0.007351476200511464
1,16,0.9398299666187118,-0.00040349006020893186,0.007395073862634605
1,17,0.9408287788467872,0.0005953221678665497,0.004656444866219744
1,18,0.9383808428507453,-0.0018526138281753349,0.004869060231149636
1,19,0.9429790159364089,0.0027455592574883664,0.009111064381070899
1,20,0.9382298453608987,-0.0020036113180219115,0.005598197808983407
1,21,0.9406966201254116,0.0004631634464908416,0.005341455939820827
1,22,0.9402175795618268,-1.587711709374082e-05,0.004602550158271379
1,23,0.944000758450361,0.003767301771440389,0.014045697279040481
1,24,0.9388672787956728,-0.0013661778832476854,0.005430142913132485
1,25,0.9371877786878072,-0.0030456779911135217,0.009654115275839148
1,26,0.9467745722665417,0.006541115587621271,0.021017982041124816
1,27,0.9393425839795437,-0.0008908726993766387,0.005709896303581097
1,28,0.9425015908268304,0.0022681341479094605,0.008206851243694469
1,29,0.9393507501964534,-0.000882706482467298,0.0031426971198464937
1,30,0.9381645252993298,-0.002068931379590899,0.007033208351229225
1,31,0.9401005136542853,-0.00013294302463515953,0.00551577280296367
1,32,0.9415975635436644,0.0013641068647436835,0.007701383892868119
1,33,0.9349697287904271,-0.005263727888493576,0.013781495988313242
1,34,0.9403375753017306,0.00010411862280995788,0.004357854781036452
1,35,0.9440355510731732,0.0038020943942524755,0.015333083705738937
1,36,0.9404019245254795,0.0001684678465587952,0.0032101790951739595
2,11,0.9414089273033146,0.00251136395354064,0.008369593887981308
2,12,0.9397019508282549,0.0008043874784810315,0.009865306740545421
2,13,0.9378630812210929,-0.00103448212868099,0.005803225856804262
2,14,0.9353498747475038,-0.003547688602270112,0.006899112565550425
2,15,0.9363749217024816,-0.0025226416472922393,0.007995614567502085
2,16,0.9381240851610347,-0.0007734781887388323,0.008192772310109064
2,17,0.9399783290373246,0.0010807656875504322,0.005305541484967313
2,18,0.9374063339494529,-0.0014912294003208012,0.004226814287863978
2,19,0.9422287661943173,0.0033312028445432905,0.011401723901002692
2,20,0.9360841969871717,-0.0028133663626019136,0.006883493433394117
2,21,0.9399542257016208,0.0010566623518467278,0.00679843810077152
2,22,0.9390796692384964,0.00018210588872249466,0.002773204475878588
2,23,0.9427857018675407,0.00388813851776681,0.014312666344306169
2,24,0.937047131190741,-0.0018504321590327012,0.007108391325792551
2,25,0.9362230647785957,-0.002674498571178183,0.00929719895560388
2,26,0.9455912704083271,0.006693707058553349,0.02105605799184651
2,27,0.9379171672091011,-0.0009803961406728901,0.0054209083225656984
2,28,0.9416631661960663,0.0027656028462924045,0.011060988653551984
2,29,0.9378950264961674,-0.0010025368536065392,0.0037679207411286386
