k,comparison,original_overlap,filtered_overlap,change_pp
10,model_change,0.30291538461538464,0.3043888888888889,0.14735042735042728
10,title_only,0.27888846153846153,0.2795615384615385,0.06730769230769236
10,abstract_only,0.7733,0.7767692307692307,0.34692307692307695
25,model_change,0.354314188034188,0.35731965811965816,0.3005470085470086
25,title_only,0.33514153846153844,0.33549384615384614,0.03523076923076911
25,abstract_only,0.8096276923076923,0.8129353846153846,0.3307692307692311
50,model_change,0.40168547008547006,0.4053239316239316,0.3638461538461539
50,title_only,0.3876661538461539,0.38830384615384617,0.06376923076923055
50,abstract_only,0.8356984615384615,0.8385792307692307,0.2880769230769234
