scope,k,model_a,model_b,n,mean,median,p025,p975,min,max
1024,50,specter2,scincl,130,0.49753846153846204,0.39000000000000146,-0.35099999999999465,1.7529999999999966,-0.8399999999999963,2.679999999999999
1024,10,specter2,scibert,130,0.7692307692307694,0.6999999999999993,-0.49999999999999917,2.4000000000000017,-1.100000000000001,3.5000000000000004
1024,25,specter2,scibert,130,0.9443076923076921,0.8400000000000019,-0.29299999999999854,2.5109999999999992,-0.7199999999999984,3.3200000000000007
1024,50,specter2,scibert,130,1.0319999999999998,0.8500000000000008,-0.015500000000002593,2.5955000000000013,-0.11999999999999789,2.9799999999999995
1024,10,specter2,bert,130,0.6661538461538461,0.5499999999999992,-0.7550000000000007,2.654999999999998,-1.3000000000000012,3.1
1024,25,specter2,bert,130,0.8553846153846153,0.7800000000000016,-0.2709999999999979,2.4040000000000012,-0.4799999999999971,2.9200000000000004
1024,50,specter2,bert,130,0.9421538461538461,0.7799999999999974,0.02449999999999855,2.373,-0.2799999999999969,3.38
1024,10,specter2,mpnet,130,0.6,0.6000000000000005,-0.8775000000000007,2.1774999999999998,-1.2999999999999956,3.0000000000000027
1024,25,specter2,mpnet,130,0.6200000000000001,0.5799999999999972,-0.48000000000000137,2.1550000000000002,-1.8000000000000016,3.639999999999999
1024,50,specter2,mpnet,130,0.5113846153846153,0.40000000000000036,-0.5305000000000032,1.7574999999999932,-0.8599999999999997,2.400000000000002
1024,10,specter2,minilm,130,0.5784615384615387,0.6000000000000005,-1.0774999999999966,2.477499999999997,-1.3000000000000012,2.899999999999997
1024,25,specter2,minilm,130,0.6929230769230772,0.5800000000000027,-0.422000000000001,2.2000000000000006,-0.9200000000000041,3.079999999999999
1024,50,specter2,minilm,130,0.6403076923076925,0.539999999999996,-0.291,1.911,-1.0800000000000032,2.500000000000002
1024,10,specter2,pubmedbert,130,0.6661538461538463,0.6000000000000005,-0.7000000000000006,2.2774999999999985,-0.899999999999998,2.6999999999999997
1024,25,specter2,pubmedbert,130,0.8575384615384616,0.7599999999999996,-0.3510000000000045,2.634999999999997,-0.4400000000000015,3.2799999999999994
