k,corpus,model_change,title_only_change,abstract_only_change,title_minus_model
10,original,0.6970846153846156,0.7211115384615383,0.2267,0.02402692307692307
10,filtered,0.6956111111111111,0.7204384615384616,0.22323076923076923,0.02482735042735044
25,original,0.645685811965812,0.6648584615384615,0.19037230769230773,0.019172649572649574
25,filtered,0.642680341880342,0.664506153846154,0.18706461538461536,0.02182581196581196
50,original,0.5983145299145298,0.6123338461538461,0.16430153846153847,0.014019316239316267
50,filtered,0.5946760683760683,0.6116961538461538,0.16142076923076926,0.017020085470085464
