model,field_id,field,period_start,cohort,rows,truncated,truncated_percent
bert,24,Immunology and Microbiology,2015,extra,1138,140,12.302284710017574
bert,24,Immunology and Microbiology,2020,base,1206,180,14.925373134328359
bert,24,Immunology and Microbiology,2020,extra,960,149,15.520833333333334
bert,25,Materials Science,2000,base,1292,36,2.7863777089783284
bert,25,Materials Science,2000,extra,874,16,1.8306636155606408
bert,25,Materials Science,2005,base,2142,57,2.661064425770308
bert,25,Materials Science,2005,extra,24,1,4.166666666666667
bert,25,Materials Science,2010,base,2962,70,2.363268062120189
bert,25,Materials Science,2015,base,3152,106,3.3629441624365484
bert,25,Materials Science,2020,base,3787,170,4.489041457618168
bert,26,Mathematics,2000,base,386,7,1.8134715025906736
bert,26,Mathematics,2000,extra,1780,32,1.797752808988764
bert,26,Mathematics,2005,base,639,9,1.408450704225352
bert,26,Mathematics,2005,extra,1527,15,0.9823182711198428
bert,26,Mathematics,2010,base,893,12,1.343784994400896
bert,26,Mathematics,2010,extra,1273,22,1.7282010997643362
bert,26,Mathematics,2015,base,1108,26,2.3465703971119134
bert,26,Mathematics,2015,extra,1058,17,1.606805293005671
bert,26,Mathematics,2020,base,1555,43,2.765273311897106
bert,26,Mathematics,2020,extra,611,23,3.7643207855973815
bert,27,Medicine,2000,base,7128,813,11.405723905723907
bert,27,Medicine,2005,base,10946,1217,11.118216700164444
bert,27,Medicine,2010,base,15771,1971,12.497622217995055
bert,27,Medicine,2015,base,18629,2866,15.384615384615385
bert,27,Medicine,2020,base,26195,4406,16.820003817522426
bert,28,Neuroscience,2000,base,718,52,7.242339832869081
bert,28,Neuroscience,2000,extra,1448,119,8.218232044198896
bert,28,Neuroscience,2005,base,1005,76,7.562189054726368
bert,28,Neuroscience,2005,extra,1161,81,6.976744186046512
bert,28,Neuroscience,2010,base,1408,101,7.173295454545454
bert,28,Neuroscience,2010,extra,758,54,7.124010554089709
bert,28,Neuroscience,2015,base,1640,128,7.804878048780488
bert,28,Neuroscience,2015,extra,526,46,8.745247148288973
bert,28,Neuroscience,2020,base,2053,173,8.426692644909888
bert,28,Neuroscience,2020,extra,113,16,14.15929203539823
bert,29,Nursing,2000,base,182,17,9.340659340659341
bert,29,Nursing,2000,extra,1984,177,8.921370967741936
bert,29,Nursing,2005,base,285,26,9.12280701754386
bert,29,Nursing,2005,extra,1881,148,7.868155236576289
bert,29,Nursing,2010,base,453,34,7.50551876379691
bert,29,Nursing,2010,extra,1713,147,8.581436077057793
bert,29,Nursing,2015,base,497,64,12.877263581488934
bert,29,Nursing,2015,extra,1669,209,12.522468544038347
