model,field_id,field,rows,truncated,truncated_percent
biobert,30,"Pharmacology, Toxicology and Pharmaceutics",10830,1289,11.902123730378579
biobert,31,Physics and Astronomy,14822,523,3.528538658750506
biobert,32,Psychology,13045,810,6.20927558451514
biobert,33,Social Sciences,37549,2491,6.633998242296732
biobert,34,Veterinary,10827,1728,15.960099750623442
biobert,35,Dentistry,10825,1121,10.355658198614318
biobert,36,Health Professions,11493,1149,9.997389715478986
simcse,11,Agricultural and Biological Sciences,19423,1640,8.443597796426916
simcse,12,Arts and Humanities,12630,1384,10.958036421219319
simcse,13,"Biochemistry, Genetics and Molecular Biology",24497,2485,10.144099277462546
simcse,14,"Business, Management and Accounting",13218,429,3.24557421697685
simcse,15,Chemical Engineering,10830,347,3.2040627885503232
simcse,16,Chemistry,10830,539,4.976915974145891
simcse,17,Computer Science,32828,629,1.9160472767149994
simcse,18,Decision Sciences,10830,338,3.120960295475531
simcse,19,Earth and Planetary Sciences,10830,835,7.710064635272391
simcse,20,"Economics, Econometrics and Finance",11509,534,4.639847076201233
simcse,21,Energy,10830,303,2.7977839335180055
simcse,22,Engineering,67148,1400,2.084946684934771
simcse,23,Environmental Science,18984,1114,5.868099452170249
simcse,24,Immunology and Microbiology,10830,1276,11.78208679593721
simcse,25,Materials Science,14233,456,3.2038221035621444
simcse,26,Mathematics,10830,206,1.902123730378578
simcse,27,Medicine,78669,11273,14.329659713483075
simcse,28,Neuroscience,10830,846,7.811634349030471
simcse,29,Nursing,10830,1075,9.926131117266852
simcse,30,"Pharmacology, Toxicology and Pharmaceutics",10830,968,8.938134810710988
simcse,31,Physics and Astronomy,14822,409,2.759411685332614
simcse,32,Psychology,13045,652,4.99808355691836
simcse,33,Social Sciences,37549,2282,6.077392207515513
simcse,34,Veterinary,10827,1226,11.323542994365937
simcse,35,Dentistry,10825,729,6.734411085450346
simcse,36,Health Professions,11493,956,8.318106673627426
